ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
aragonese,Aragonese,,42.2935,-0.4394,arag1245,arg,арагонский
aromanian,Aromanian,,40.62,21.2,arom1237,rup,арумынский
asturian,Asturian,,42.7954,-5.6689,astu1245,ast,астурийский
catalan,Catalan,,41.6666,2,stan1289,cat,каталонский
corsican,Corsican,,41.7,9.26,cors1241,cos,корсиканский
dalmatian,Dalmatian,,45.0599,14.5719,dalm1243,dlm,далматинский
franco_provencal,Franco-Provençal,,45.81,6.48,fran1260,frp,франкопровансальский
french,French,,48.8839,2.3678,stan1290,fra,французский
friulian,Friulian,,46.1037,13.1396,friu1240,fur,фриульский
galician,Galician,,42.8667,-8.55,gali1258,glg,галисийский
gascon,Gascon,,43.3,-0.38,gasc1240,,гасконский
istriot,Istro-Roman,,45.09,13.64,istr1244,ist,истророманский
istro_romanian,Istro-Rumanian,,45.43,14.2,istr1245,ruo,истрорумынский
italian,Italian,,41.9,12.5,ital1282,ita,итальянский
judeo_spanish,Judeo-Spanish,,41.2,28.66,ladi1251,lad,сефардский
ladin,Ladin,,46.0666,11.1166,ladi1250,lld,ладинский
megleno_romanian,Megleno-Romanian,,41.12,22.38,megl1237,ruq,мегленорумынский
occitan,Occitan,,41.3833,2.1833,occi1239,oci,окситанский
old_french,Old French,,48.8666,2,oldf1239,fro,старофранцузский
portuguese,Portuguese,,38.7666,-9.1833,port1283,por,португальский
rhaeto_romance,Romansch,,46.55,9.93,roma1326,roh,ретороманский
romanian,Romanian,,44.04,26.0833,roma1327,ron,румынский
sardinian,Sardinian,,39.2166,9.1166,sard1257,srd,сардинский
spanish,Spanish,,40.4333,-3.7,stan1288,spa,испанский
enets,Enets,,70.9596,84.2651,enet1250,enf; enh,энецкий
erzya,Erzya,,54.1302,45.4394,erzy1239,myv,эрзянский
estonian,Estonian,,59.4333,24.75,esto1258,est,эстонский
finnish,Finnish,,60.1733,24.9486,finn1318,fin,финский
hungarian,Hungarian,,47.5167,19.0833,hung1274,hun,венгерский
ingrian,Ingrian,,59.8397,28.7017,ingr1248,izh,ижорский
kamassian,Kamas,,57.9964,92.8784,kama1351,xas,камасинский
karelian,Karelian,,63.0474,33.4616,kare1335,krl,карельский
khanty,Khanty,,63.7047,66.676,khan1273,kca,хантыйский
komi_permyak,Komi-Permyak,,59.204,54.5361,komi1269,koi,коми-пермяцкий
komi_zyrian,Komi-Zyrian,,61.6666,50.8166,komi1268,kpv,коми-зырянский
livonian,Livonian,,57.6101,22.2802,livv1244,liv,ливский
mansi,Mansi,,58.6109,65.9375,mans1258,mns,мансийский
mari,Mari,,56.6333,47.8666,east2328,mhr,марийский
moksha,Moksha,,54.1817,43.2751,moks1248,mdf,мокшанский
nenets,Nenets,,67.6411,53.0447,nene1249,yrk,ненецкий
nganasan,Nganasan,,72.816,91.582,ngan1291,nio,нганасанский
selkup,Selkup,,65.7035,82.4441,selk1253,sel,селькупский
udmurt,Udmurt,,56.8498,53.2184,udmu1245,udm,удмуртский
veps,Veps,,60.3269,34.8046,veps1250,vep,вепсский
votic,Votic,,59.5858,28.4518,voti1245,vot,водский
alabugat_tatar,Alabugat Tatar (Nogai),,43.59,46.66,alab1256,,алабугатских татар (ногайцев)
altai,Altai,,51.95,85.9666,nort2686; sout2694,atv; alt,алтайский
astrakhan_karagash_nogai,Astrakhan Karagash Nogai,,47.2643,47.2412,,,астраханских ногайцев-карагашей
azerbaijani,Azerbaijani,,40.3833,49.9833,nort2697; sout2697,aze,азербайджанский
bashkir,Bashkir,,54.7333,55.9666,bash1264,bak,башкирский
bulgar,Bolgarian,,45.189,36.825,bolg1250,xbo,булгарский
chagatai,Chagatai,,37.6,61.8333,chag1247,chg,чагатайский
chuvash,Chuvash,,56.1333,47.25,chuv1255,chv,чувашский
crimean_tatar,Crimean Tatar,,43.9414,28.3062,crim1257,crh,крымскотатарский
