feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,Список из девяти гласных фонем терминологически не интерпретируется,Вокализм А.я./д. в фонологическом аспекте не изучался.,
A-2,Подъемы гласных,not_stated,,,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,not_stated,,,,
A-4,Фонологические ступени долготы,not_stated,,,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные, аффрикаты, щелевые и дрожащие","Ссылка на статью ""Семнана полосы диалекты"" в Энциклопедии ""Языки мира"".",
A-13,Инвентарь шумных согласных по месту образования,custom,,Список из 22 согласных терминологически не интерпретируется,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,,
A-16,Шумные заднеязычные согласные по месту образования,not_stated,,,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",,
A-20,Инвентарь сонорных согласных по месту образования,not_stated,,,,
A-21,Дополнительные противопоставления сонорных согласных,not_stated,,,,
B-1,Тип ударения,not_stated,,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-4,Конечный слог,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,not_stated,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,not_stated,,,,
C-2,Конечный согласный в слоге,not_stated,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,
D-7,Функциональный тип чередований,not_stated,,,,
D-8,Вид чередований,not_stated,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,
E-2,Признаки флективного строя,custom,,Кумулятивность аффиксов в системе глагола,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,
F-8,Противопоставление по личности/ неличности,not_stated,,,,
F-9,Способ выражения одушествленности/ неодушевленности,not_stated,,,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,not_stated,,,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,Показатель множественного числа существительных в источниках не зафиксирован.,
G-5,Форма имен после числительного,not_stated,,,,
G-6,Система счисления,not_stated,,,,
G-7,"Неопределенный артикль и числительное ""один""",not_stated,,,,
H-1,Количество падежей,custom,,Существительные и прилагательные не имеют падежных форм. Личные местоимения имеют двухпадежное супплетивное склонение,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, объектная форма личных местоимений и послелоги",,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,not_stated,,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-2,Посессивные частицы,,
H-6,Способ выражения пространственных отношений,custom,,Указательные местоимения,Других данных нет.,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,,
H-9,Наличие вторичных падежей,not_stated,,,,
