feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-1,Два,,,180
A-2,Подъемы гласных,listed,A-2-1,Верхний и нижний,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,180
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,180
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,180
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,Упоминается также лабиальная гармония.,,180
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,180
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,180
A-10,Противопоставление гласных по назализации,not_applicable,,,,,180
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,180
A-14,Типы дифтонгов,not_applicable,,,,,180
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,180
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные","В статье используется термин ""средненебноязычные"", включающий в себя как велярные (к,г), так и падатальные (й).",,180
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,Губно-зубные встречаются только в заимствованиях из русского языка.,,180
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-3,Альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в тексте статьи использован термин ""средне-небноязычные"", а вместо термина ""увулярные"" -- ""задне-небноязычные"".",,180
A-21,Типы шумных ларингальных согласных по месту образования,not_applicable,,,,,180
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,180
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-16,"Лабиальные, переднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-4,Конечный слог,,,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_stated,,,,,
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,listed,B-17-7,Ряд и лабиализация,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-18-6,Первый гласный слова (=корня),,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-3,Посессивные аффиксы,,,
H-6,Способ выражения пространственных отношений,not_stated,,,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3&I-5-5,Прошедшее&Настоящее&Будущее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,not_stated,,,,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,not_stated,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,,
J-5,Морфологическое выражение определенности/неопределенности имени,not_stated,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_stated,,,,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-1,Отрицательные аффиксы,,,
J-9,Позиция показателя отрицания,listed,J-9-4,Постпозиция,,,
K-1,Склонение личных местоимений,listed,K-1-2,Падежные местоименные аффиксы совпадают с именными,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
K-3,Неопределенный артикль и числительное «один»,not_applicable,,,,,
K-4,Расположение артикля,not_applicable,,,,,
K-5,Постановка артикля в именной группе,not_applicable,,,,,
K-6,"Грамматические категории, выражаемые артиклем",not_applicable,,,,,
K-7,Количество типов спряжения глаголов,listed,K-7-1,Единый тип спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-2,Субъектное,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,,,
K-10,"Время, выражаемое причастием",not_stated,,,,,
K-11,"Грамматические категории, выражаемые наречием",listed,K-11-2,Степени сравнения,,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-1,Отсутствуют,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,,
