feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,428
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,428
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,Сфера употребления долгих гласных ограничена.,,428
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,428
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,428
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,428
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,428
A-10,Противопоставление гласных по назализации,not_applicable,,,,,428
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,428
A-14,Типы дифтонгов,not_applicable,,,,,428
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,428
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,428
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,"В статье используется просто термин ""губные"", однако в таблице консонант отсутствуют фонемы, являющиеся губно-зубными. ",,428
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,,,428
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"Вместо термина ""фарингальные"" в статье используется термин ""эмфатические ларингальные"", а вместо термина ""глоттальные"" в статье используется термин ""ларингальные"".",,428
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-2,По лабиализации,"В статье также упоминается фарингализация, но она является суперсегментным признаком, ""центром"" фарингализации может быть увулярный согласный или гласный.",,428
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,429
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,429
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,429
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,429
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,429
B-6,Типы связанного ударения,listed,B-6-2,Ограниченное,,,429
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-1,Подвижное,,,429
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,429
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-1&B-9-2,Начальный слог&Второй слог от начала,,,429
B-10,Виды тонем,not_applicable,,,,,429
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,429
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,429
B-13,Количество уровней контурных тонов,not_applicable,,,,,429
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,429
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-1,Обязательно имеется,Начальный ʔ на письме опускается.,,429
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,429
C-3,Стечения согласных в слоге,listed,C-3-3,Стечения согласных возможны только в конце слога,Допустимы только сочетания вида сонорный+шумный.,,429
D-1,Ограничения на фонемную структуру начала слова,listed,D-1-2,Присутствуют,,,429
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-2&D-2-8,Разрешены только согласные&Запрет на  долгие (геминированные) согласные,Неприкрытых слогов не бывает.,,429
D-3,Ограничения на фонемную структуру в конце слова,listed,D-3-2,Присутствуют,,,429
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-4-5&D-4-9,Ограничения на последовательность (сочетания) согласных&Запрет на  долгие (геминированные) согласные,Единственное возможное стечение согласных в конце слова -- сонорный + шумный.,,429
D-5,Варианты особенностей слогового состава слова,not_stated,,,"Так как А.я. -- язык со сложной морфологией, ожидаются в основном неодносложные слова, но нигде эксплицитно это не проговорено.",,429
D-6,Различия между знаменательными и служебными словами,listed,D-6-1,Отсутствуют,,,429
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,429
D-8,Различия между исконными и заимствованными словами,listed,D-8-1,Отсутствуют,,,429
D-9,Типы различий между исконными и заимствованными словами,not_applicable,,,,,429
D-10,Различия между корневыми и аффиксальными морфемами,listed,D-10-1,Отсутствуют,,,429
D-11,Типы различий между корневыми и аффиксальными морфемами,not_applicable,,,,,429
D-12,Функциональный тип чередований,not_stated,,,,,
D-13,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,not_stated,,,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
F-1,Количество согласовательных классов,not_stated,,,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),listed,F-5-3,В единственном и множественном числе,"""Число существительного, наряду с его классом, отражаются в классовых показателях согласуемых слов"".",,430
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,430
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,430
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,434
G-4,Согласование по числу,listed,G-4-3,Атрибутивное,Число существительного отражается только в форме императива. ,,430
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-1,Единственное,,,430
G-6,Система счисления,listed,G-6-1,Десятичная,,,430
H-1,Количество падежей у имени существительного,not_stated,,,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
