feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-4,"Верхний, верхне-средний, средний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",Имеются промежуточные варианты.,,
A-4,Фонологические ступени долготы,not_stated,,,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-3,В среднем ряду,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,,
A-10,Типы дифтонгов,not_applicable,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,Список их 29 согласных терминологически не интерпретируется.,,
A-12,Инвентарь шумных согласных по способу артикуляции,not_stated,,,,,
A-13,Инвентарь шумных согласных по месту образования,not_stated,,,,,
A-14,Инвентарь шумных губных согласных по месту образования,not_stated,,,,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-16,Шумные заднеязычные согласные по месту образования,not_stated,,,,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-20,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-21,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,Других данных нет.,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,custom,,Гласный основы в личных глагольных фоормах или конечный гласный слова,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,Данных нет.,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,Данных нет.,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-3,Акцентные различия,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,custom,,Агглютинативный с элементами аналитизма,,,
E-2,Признаки флективного строя,listed,E-2-10,Внутренняя флексия и кумулятивность флексий,,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,Язык смешанной типологии.,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Перегласовка основ и суффиксация,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-9,"В местоимении, прилагательном и глаголе",,,
F-4,Другие способы выражения согласовательных классов,custom,,"Отдельные лексемы и элементы композитов, огласовка глагольных основ",,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,,,
F-6,Согласование количественных числительных в роде,not_stated,,,Данных нет.,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,Других данных нет.,,
F-8,Противопоставление по личности/неличности,listed,F-8-3,Синтаксическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-1,Лексический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, субъектные и объектные форы личеых и указательных местоимений, предлоги и послелоги",,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_stated,,,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-5,Послелоги и предлоги,,,
H-6,Способ выражения пространственных отношений,custom,,"Указательные местоимения, предлоги послелоги",,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,Залоговые значения морфологически не выражены.,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,custom,,"Тип основы, флективные и отделяемые личные показатели",,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-9,"Лицо, число и род/ вид и время",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,listed,J-2-16,"Указательные местоимения, предлоги и послелоги",,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-9,Предлоги и послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,,
J-5,Морфологическое выражение определенности/неопределенности имени,custom,,Препозитивный показатель прямого объекта,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-21,"Артикли, местоимения и числительные",,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-8,Запретительные и отрицательные частицы,,,
J-9,Позиция показателя отрицания,not_stated,,,Данных нет.,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-4,Определенный и неопределенный,,,
K-3,Неопределенный артикль и числительное «один»,listed,K-3-1,Совпадают,"Числительное ""один"" в функции артикля выступает в усеченной форме.",,
K-4,Расположение артикля,listed,K-4-1,Препозиция,,,
K-5,Постановка артикля в именной группе,not_stated,,,,,
K-6,"Грамматические категории, выражаемые артиклем",custom,,Определенность/неопределенность,Других данных нет.,,
K-7,Количество типов спряжения глаголов,listed,K-7-2,Два типа спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-3,Субъектное и объектное,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,Данных нет.,,
K-10,"Время, выражаемое причастием",not_stated,,,,,
K-11,"Грамматические категории, выражаемые наречием",not_stated,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-5,Род,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,,
K-14,Атрибутивное согласование прилагательных,not_stated,,,,,
K-15,Типы атрибутивного согласования,listed,K-15-4,По роду,,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",listed,K-16-7,Число и падеж,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,listed,K-17-7,Числа и рода / согласовательного класса,,,
K-18,Средства словоизменения,listed,K-18-5,Внутренняя флексия и аффиксы,,,
K-19,Модель словоформы,listed,K-19-4,Преимущественно или только суффиксальная,,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-3,Префиксы и суффиксы,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-7,Аккузативная с элементами эргативной,,,
M-2,Фиксированность порядка слов,not_stated,,,,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,,
M-4,Порядок определения и определяемого,listed,M-4-1,Определение предшествует определяемому,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,Сложное предложение не изучено.,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,,
N-3,Оформление сказуемого в придаточном предложении,not_stated,,,,,
N-4,Тип построения сложного предложения,not_stated,,,,,
N-5,Тип связи между элементами сложного предложения,not_stated,,,,,
_aux,,not_applicable,,,А.К.Зотова,,
