feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-3,Четыре,,
A-2,Подъемы гласных,listed,A-2-5,"Верхний, верхне-средний, нижне-средний и нижний",,
A-3,Ряды гласных,listed,A-3-2,Передний и задний,,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-2,В переднем и заднем рядах,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,not_stated,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-1,Взрывные и фрикативные,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-1,"Лабиальные, переднеязычные и заднеязычные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-1,Дентальные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-4,Велярные и лабиовелярные,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-1,Ударение отсутствует,,
B-2,Вид ударения,not_stated,,,,
B-3,Носитель ударения,not_stated,,,,
B-4,Фиксированность ударения,not_stated,,,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,,
B-6,Количество уровней тонов,listed,B-6-2,Три,,
B-7,Контурные признаки тона,custom,,"Ровный, восходящий, нисходящий и ""скользящий"" (в статье понятие не конкретизируется)",,
B-8,Носитель тона,listed,B-8-1,Слог,,
B-9,Характер долготы,custom,,Нет данных,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,
C-2,Конечный согласный в слоге,listed,C-2-4,Большинство слогов открытые,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-1,Отсутствуют,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,
D-3,Особенности слогового состава слова,listed,D-3-3,Преимущественно односложные слова,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,
D-5,Различия между исконными и заимствованными словами,custom,,Нет данных,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,
D-7,Функциональный тип чередований,listed,D-7-2,Сопутствующие,,
D-8,Вид чередований,listed,D-8-2,Консонантные,,
