feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,"В статье при описании подъемов используются термин ""раствор"": в булгарском есть узкий, полуузкий и широкий растворы.",,48
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,"В статье при описании рядов вместо терминов ""передний"" и ""задний"" используются термины ""палатальный"" и ""велярный"".",,48
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,NB: фонологическая система булгарского языка является недоизученной.,,48
A-6,Фонологические ступени долготы,not_applicable,,,,,48
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,"В булгарском языке есть также лабиальный сингармонизм, однако она не всегда выдерживается.",,48
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,"В статье при описании рядов вместо терминов ""передний"" и ""задний"" используются термины ""палатальный"" и ""велярный"".",,48
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,NB: фонологическая система булгарского языка является недоизученной.,,48
A-10,Противопоставление гласных по назализации,not_applicable,,,,,48
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,NB: фонологическая система булгарского языка является недоизученной.,,48
A-14,Типы дифтонгов,not_applicable,,,,,48
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,49
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,49
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", однако в таблице консонантизма представлены фонема [f], являющаяся губно-зубной, однако она присутствует только в волжско-булгарском диалекте и в основном в арабских заимствованиях.",,49
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в статье используется термин ""заднеязычные"".",,49
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,"Фарингальные фонемы представлены единственной фонемой [h], однако она присутствует только в волжско-булгарском диалекте и в основном в арабских заимствованиях.",,49
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,NB: фонологическая система булгарского языка является недоизученной.,,49
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,not_stated,,,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,
B-4,Вид ударения (качественные характеристики),not_stated,,,,,
B-5,Фиксированность ударения,not_stated,,,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Носители ограниченного (разноместного) ударения,not_stated,,,,,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
