feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,explicit_gap,,,Группа из четырех диалектов на северо-востоке Ирана и северо-западе Афганистана. Предположительно относятся к диалектам персидско-таджикского типа. Характеризуются наличием сильного тюркско-монгольского суперстрата. Лингвистического описания не имеют.,,
A-2,Подъемы гласных,explicit_gap,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,explicit_gap,,,,,
A-4,Ряды гласных,explicit_gap,,,,,
A-5,Фонологические ступени долготы,explicit_gap,,,,,
A-6,Противопоставление гласных по лабиализации,explicit_gap,,,,,
A-7,Противопоставление гласных по назализации,explicit_gap,,,,,
A-8,Противопоставление гласных по фарингализации,explicit_gap,,,,,
A-9,Противопоставление гласных по продвинутости корня языка,explicit_gap,,,,,
A-10,Наличие дифтонгов и трифтонгов,explicit_gap,,,,,
A-11,Типы дифтонгов,explicit_gap,,,,,
A-12,Инвентарь шумных согласных по ларингальным признакам,explicit_gap,,,,,
A-13,Типы шумных согласных по способу артикуляции,explicit_gap,,,,,
A-14,Инвентарь шумных согласных по месту образования,explicit_gap,,,,,
A-15,Типы шумных губных согласных по месту образования,explicit_gap,,,,,
A-16,Шумные переднеязычные согласные по месту образования,explicit_gap,,,,,
A-17,Типы шумных велярных и увулярных согласных по месту образования,explicit_gap,,,,,
A-18,Типы шумных ларингальных согласных по месту образования,explicit_gap,,,,,
A-19,Дополнительные артикуляционные противопоставления шумных согласных,explicit_gap,,,,,
A-20,Инвентарь сонорных согласных по способу артикуляции,explicit_gap,,,,,
A-21,Инвентарь сонорных согласных по месту образования,explicit_gap,,,,,
A-22,Дополнительные противопоставления сонорных согласных,explicit_gap,,,,,
A-23,Инвентарь фрикативных согласных по месту образования,explicit_gap,,,,,
B-1,Тип ударения,explicit_gap,,,,,
B-2,Вид ударения,explicit_gap,,,,,
B-3,Носитель ударения,explicit_gap,,,,,
B-4,Фиксированность ударения,explicit_gap,,,,,
B-5,Носитель фиксированного ударения в слове,explicit_gap,,,,,
B-6,Количество уровней тонов,explicit_gap,,,,,
B-7,Контурные признаки тона,explicit_gap,,,,,
B-8,Носитель тона,explicit_gap,,,,,
B-9,Характер долготы,explicit_gap,,,,,
B-10,Область гармонического уподобления гласных,explicit_gap,,,,,
B-11,Признак гармонического уподобления гласных,explicit_gap,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,explicit_gap,,,,,
