feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-2,В переднем ряду,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-3,Восходящие и нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-5,"Лабиальные, переднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-11,"Дентальные, интердентальные и альвеолярные",,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-1,Только фарингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайд /w/ определяется как срединный.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-16,"Лабиальные, переднеязычные и заднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,custom,,Слабо-динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-7,Пенультима,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,Данных нет.,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,Данных нет.,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,
D-7,Функциональный тип чередований,listed,D-7-3,Смыслоразличительные,,
D-8,Вид чередований,listed,D-8-2,Консонантные,"Общекельтские консонантные мутации анлаута (лениция, спирантная мутация, провекция и новая лениция).",
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,
E-2,Признаки флективного строя,listed,E-2-7,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Мутации анлаута,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В артикле, числительном и местоимении",,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,custom,,Отсутствует,,
F-6,Согласование количественных числительных в роде,custom,,"Для числительного ""два""",Других данных нет.,
F-7,Классифицирующие категории существительных,not_stated,,,,
F-8,Противопоставление по личности/ неличности,not_stated,,,,
F-9,Способ выражения одушествленности/ неодушевленности,not_stated,,,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,not_stated,,,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,
G-5,Форма имен после числительного,not_stated,,,Данных нет.,
G-6,Система счисления,not_stated,,,Данных нет.,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,,
H-1,Количество падежей,listed,H-1-6,Категория падежа у имени существительного отсутствует,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, мутации анлаута и порядок слов",,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,not_stated,,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-4,Посессивные местоимения,,
H-6,Способ выражения пространственных отношений,custom,,Местоименные предлоги и наречия,,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,,
H-9,Наличие вторичных падежей,not_stated,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,Других данных нет.,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-2,Отсутствует,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-1,Отсутствует,Категория включает формы активного и безлично-пассивного залогов.,
I-5,Основные временные противопоставления,listed,I-5-5,Настоящее и прошедшее,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-5,"Вспомогательный глагол, аффиксы и служебные слова","Характерной чертой К.я. является изобилие глагольных частиц (утвердительных, отрицательных, относительных, перфективных и др.).",
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,not_stated,,,,
J-1,Наличие местоименных слов,custom,,"Местоимения-существительные, местоимения-прилагательные и местоименные предлоги",,
J-2,Способы выражения дейктических категорий,custom,,"Указательные местоимения, наречия, артикли и предлоги",,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",custom,,"Артикли, предлоги и местоименные предлоги",,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,
J-5,Морфологическое выражение определенности/неопределенности имени,custom,,Мутация анлаута после определенного артикля,,
J-6,"Части речи, выражающие определенность-неопределенность имени",listed,J-6-1,Артикли,,
J-7,Способы выражения форм вежливости,not_stated,,,,
J-8,Способы выражения отрицания,listed,J-8-3,Отрицательные частицы,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-3,Только определенные,,
