feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,custom,,Список из 12 гласных фонем по количеству степеней подъема терминологически не интерпретируется,,,
A-2,Подъемы гласных,custom,,Список из 12 гласных фонем по признаку подъема терминологически не интерпретируется,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,custom,,Список из 12 гласных фонем по признаку ряда терминологически не интерпретируется,,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,,,
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,
A-9,Наличие противопоставления гласных по назализации,not_stated,,,,,
A-10,Противопоставление гласных по назализации,custom,,Есть назализованные и неназализованные гласные,Фонологический статус назализованных гласных неясен.,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-6,Противопоставления по звонкости/глухости и по аспирации,Есть аспирированные глухие смычные (чистые) и глухие аффрикаты.,,
A-16,Типы шумных согласных по способу артикуляции,custom,,"Смычные, фрикативные и аффрикаты","Смычные: чистые (неносовые и носовые) и аффрикаты (одно- и двухфокусные), и щелевые: срединные (одно- и двухфокусные) и боковые. ",,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,,,
A-19,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,"Различаются нецеребральные и церебральные смычные (чистые), аффрикаты и фрикативные (срединные).",,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,Увулярные встречаются только в заимствованиях. ,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды","Назальные определяются как смычные чистые носовые, плавные - как щелевые боковые. Глайды /w/ и /y/ определяются как щелевые срединные однофокусные согласные.",,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",Различаются нецеребральные и церебральные переднеязычные назальные.,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, увулярные и ларингальные",Увулярные и ларингальный фрикативные встречаются только в заимствованиях. Классификация отражает таблицу консонантизма в статье.,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,not_stated,,,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,
B-4,Вид ударения (качественные характеристики),custom,,Динамическое и тоновое,,,
B-5,Фиксированность ударения,listed,B-5-1,Свободное,,,
B-6,Типы связанного ударения,not_applicable,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,
B-9,Носители ограниченного (разноместного) ударения,not_applicable,,,,,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),listed,B-11-2,Три,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",custom,,"Восходящий, нисходящий и циркумфлексный",Циркумфлексный тон могут иметь долгие гласные.,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,explicit_gap,,,Структура слога не изучена.,,
C-2,Конечный согласный в слоге,explicit_gap,,,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,explicit_gap,,,,,
D-8,Вид чередований,not_applicable,,,Типы чередований не изучены.,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,custom,,Кумулятивность флексий и наличие параллельных типов словоизменения,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,Различаются мужской и женский род.,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Флексии в имени и глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-19,В глаголе и местоимении,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,explicit_gap,,,Статус прилагательного по отношению к существительному неясен.,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_applicable,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,Атрибутивное согласование по числу ограничено указательными местоимениями.,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-6,Двадцатеричная,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,custom,,"Падежные флексии, субъектная и объектная форма личных местоимений, глагольное согласование и порядок слов",,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-4,Посессив,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,,
H-6,Способ выражения пространственных отношений,custom,,Указательные местоимения,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-5,Прошедшее&Настоящее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,custom,,"Вспомогательный глагол + личная форма глагола/абсолютив, аффиксы и флексии",,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-19,"Лицо, число, род, время, вид и модальность (наклонение)",Род выражается в формах 3-го лица ед.числа наст. времени.,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,listed,J-2-1,Указательные местоимения,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,,
J-5,Морфологическое выражение определенности/неопределенности имени,not_stated,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_stated,,,,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,not_stated,,,,,
J-9,Позиция показателя отрицания,not_applicable,,,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
K-3,Неопределенный артикль и числительное «один»,not_stated,,,,,
K-4,Расположение артикля,not_applicable,,,,,
K-5,Постановка артикля в именной группе,not_applicable,,,,,
K-6,"Грамматические категории, выражаемые артиклем",not_applicable,,,,,
K-7,Количество типов спряжения глаголов,not_stated,,,,,
K-8,Типы глагольного согласования,listed,K-8-2,Субъектное,,,
K-9,"Согласовательные категории, выражаемые причастием",custom,,Причастие отсутствует,,,
K-10,"Время, выражаемое причастием",not_applicable,,,,,
K-11,"Грамматические категории, выражаемые наречием",custom,,Наречие отсутствует,,,
K-12,"Согласовательные категории, выражаемые прилагательным",not_stated,,,Статус прилагательного по отношению к существительному неясен.,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_applicable,,,,,
K-14,Атрибутивное согласование прилагательных,not_applicable,,,,,
K-15,Типы атрибутивного согласования,not_applicable,,,,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",listed,K-16-2,Падеж,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,listed,K-17-1,Отсутствует,,,
K-18,Средства словоизменения,custom,,Флексии и аффиксы,,,
K-19,Модель словоформы,listed,K-19-4,Преимущественно или только суффиксальная,,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-2,Суффиксы,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-7,Аккузативная с элементами эргативной,,,
M-2,Фиксированность порядка слов,not_stated,,,,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,,
M-4,Порядок определения и определяемого,not_stated,,,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,,
N-3,Оформление сказуемого в придаточном предложении,not_stated,,,,,
N-4,Тип построения сложного предложения,listed,N-4-2,Подчинение,"Зафиксированы дополнительные и временные придаточные предложения, вводимые союзами.",,
N-5,Тип связи между элементами сложного предложения,custom,,Cоюзная,На основании данных записанного текста.,,
_aux,,not_applicable,,,А.К.Зотова/О.И.Романова,,
