feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",Классификация по приведенной схеме на основе МФА. Авторская терминологическая интерпретация отсутствует.,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний (смешанный) и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-6,В переднем и заднем/ непереднем рядах,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,"Глухие смычные противопоставлены по аспирации (напряженности), фрикативные противопоставлены по признаку глухие/звонкие.",,
A-12,Типы шумных согласных по способу артикуляции,listed,A-12-1,Взрывные и фрикативные,,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-2,Губно-губные и губно-зубные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-1,Дентальные,,,
A-16,Типы шумных велярных и увулярных согласных по месту образования,listed,A-16-1,Велярные,,,
A-17,Типы шумных ларингальных согласных по месту образования,listed,A-17-1,Только фарингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",Существует разряд вокализованных согласных (вокоидов).,,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные и увулярные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
