feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,Выделяются первый нижний и второй нижний подъемы.,,359
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,359
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,359
A-6,Фонологические ступени долготы,not_applicable,,,,,359
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,359
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,359
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,359
A-10,Противопоставление гласных по назализации,not_applicable,,,,,359
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,359
A-14,Типы дифтонгов,not_applicable,,,,,359
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,358
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,358
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"Присутствует губно-зубной v. При этом упоминается, что b и v близки по своим особенностям к сонорным звукам.",,358
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в статье используется термин ""заднеязычные"".",,358
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"Вместо термина ""глоттальные"" в статье используется термин ""ларингальные"".",,358
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,358
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-7,Лабиальные и переднеязычные,,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,359
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,359
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,Нет случаев смыслоразличения посредством ударения.,,359
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,"Говорится о том, что в литературном Д.я. нет четко выраженного динамического уравнения. Ударение слабое. При этом в диалектах (цудахурского типа) оно явно выделяется.",,359
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,359
B-6,Типы связанного ударения,listed,B-6-1,Строго фиксированное,"""Очень слабое ударение иногда отмечается на последнем слоге"".",,359
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-1,Подвижное,,,359
B-8,Тип строго фиксированного ударения (по положению в слове),listed,B-8-6,На последнем слоге в слове,,,359
B-9,Носители ограниченного (разноместного) ударения,not_applicable,,,,,359
B-10,Виды тонем,not_applicable,,,,,359
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,359
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,359
B-13,Количество уровней контурных тонов,not_applicable,,,,,359
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,359
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,listed,B-16-9,Гармоническое уподобление гласных отсутствует,,,
B-17,Признак гармонического уподобления гласных,not_applicable,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-2,Большинство слогов прикрытые,"Слоги без начального гласного встречаются редко. В таких слогах первый согласный всегда сонорный й,б,в.",,359
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,359
C-3,Стечения согласных в слоге,listed,C-3-3,Стечения согласных возможны только в конце слога,"Первый согласный в стечении обязательно сонорный й,б,в.",,359
D-1,Ограничения на фонемную структуру начала слова,listed,D-1-2,Присутствуют,,,359
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-7,Запрет на любые стечения согласных,Стечение двух и более согласных в начале слога нехарактерны.,,359
D-3,Ограничения на фонемную структуру в конце слова,listed,D-3-2,Присутствуют,,,359
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-4-5,Ограничения на последовательность (сочетания) согласных,"Первый согласный в стечении обязательно сонорный й,б,в.",,359
D-5,Варианты особенностей слогового состава слова,not_stated,,,"Д.я. Агглютинативно-синтетический, поэтому ожидается, что многословные слова будут более частотны. Однако эксплицитно это не указано.",,359
D-6,Различия между знаменательными и служебными словами,listed,D-6-1,Отсутствуют,,,359
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,359
D-8,Различия между исконными и заимствованными словами,listed,D-8-1,Отсутствуют,"В литературном языке хорошо используются заимствованные из русского языка о,щ и мягкие согласные.",,358
D-9,Типы различий между исконными и заимствованными словами,not_applicable,,,,,358
D-10,Различия между корневыми и аффиксальными морфемами,listed,D-10-2,Присутствуют,,,359
D-11,Типы различий между корневыми и аффиксальными морфемами,listed,D-11-1,Различия в фонетическом составе,"Различие касается монофонемных аффиксов и корней. В монофонемных аффиксах как правило представлены фонемы й,б,в,д ""или сонорные"", а в монофонемных корнях они практически не представлены. Также есть ряд фонетических изменений, характерных только для аффиксов.",,359
D-12,Функциональный тип чередований,not_stated,,,,,
D-13,Вид чередований,listed,D-13-1,Вокалические,,,
