feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,Вокализм изучен недостаточно. ,,
A-2,Подъемы гласных,listed,A-2-4,"Верхний, верхне-средний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,custom,,Отсутствует,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-6,В среднем и заднем рядах,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-15,Противопоставления по звонкости/глухости и лабиализации,Есть слаболабиализованный двухфокусный увулярный фрикативный /x/. ,,
A-16,Типы шумных согласных по способу артикуляции,custom,,"Смычные, фрикативные и аффрикаты","Смычные: чистые (неносовые и носовые) и аффрикаты (одно- и двухфокусные), и щелевые: срединные (одно- и двухфокусные) и боковые.",,
A-17,Типы шумных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,Есть только глухой лабиодентальный /f/.,,
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,Увулярный смычный /q/ употребляется в заимствованиях из арабского и тюркских языков.,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,
