feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний","Отмечаются также фонемы ""заднего продвинутого вперед"" и ""смешанного ряда"".",
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-3,Восходящие и нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Губные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Интердентальные и альвеолярные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-1,Только фарингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайды /w/ и /j/ определяются как срединные щелевые сонанты; вибрант /r/ определяется как срединный переднеязычный какуминальный сонант.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-17,"Губные, переднеязычные, среднеязычные и заднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,custom,,Первый слог слова или корня,В многосложных словах имеется второстепенное ударение.,
B-6,Количество уровней тонов,listed,B-6-1,Два,,
B-7,Контурные признаки тона,custom,,"Восходящий, нисходящий и нисходяще-восходящий",,
B-8,Носитель тона,custom,,Главноударный слог слова или фраза,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,listed,B-13-4,Фонация,,
B-14,Типы фонации,listed,B-14-6,Напряженная,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-1,Отсутствуют,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,
D-3,Особенности слогового состава слова,listed,D-3-3,Преимущественно односложные слова,Отмечается тенденция к совпадению слоговых и морфологических границ.,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-7,"Различия в фонетическом составе, в структуре слога и акцентные различия",,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-3,Акцентные различия,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,listed,D-8-8,"Вокалические, консонантные и смешанные",Фонологически обусловленные чередования фонем нехарактерны.,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,
E-2,Признаки флективного строя,listed,E-2-1,Внутренняя флексия,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма аффиксов, единый тип склонения или спряжения и постоянство морфемного облика",,
E-4,Тип языка по степени спаянности морфем,listed,E-4-2,Аналитический,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,"Три класса (мужской, женский и средний род) в системе личных и притяжательных местоимений.",
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-3,В местоимении,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,custom,,Отсутствует,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,
F-8,Противопоставление по личности/ неличности,not_stated,,,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-7,"Лексический, морфологический и синтаксический",,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,listed,G-3-1,Отсутствуют,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,listed,G-6-3,Десятеричная с элементами двенадцатеричной,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-3,Не совпадают,,
H-1,Количество падежей,listed,H-1-1,Один-два,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, субъектная и объектная форма личных местоимений и порядок слов",,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,
H-4,Падежное оформление посессивного отношения,custom,,"Притяжательный падеж, в том числе ""групповой притяжательный падеж""",,
H-5,Другие способы оформления посессивного отношения,listed,H-5-11,Соположение и предлоги,,
H-6,Способ выражения пространственных отношений,custom,,"Местоимения, местоименные наречия, наречия места и предлоги",,
H-7,Маркирование зависимостного имени в генетивной конструкции,listed,H-7-1,Маркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-2,Различное,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Вспомогательный глагол + причастие прошедшего времени и возвратные местоимения,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-1,Отсутствует,,
I-5,Основные временные противопоставления,listed,I-5-7,"Настоящее, прошедшее и будущее",,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-4,Только 3 лицо единственное число,,
I-10,Маркер переходности,listed,I-10-1,Отсутствует,,
J-1,Наличие местоименных слов,listed,J-1-10,"Местоименные наречия, прилагательные и существительные",,
J-2,Способы выражения дейктических категорий,custom,,"Указательные местоимения, местоименные наречия и артикль",,
