feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,listed,A-210-2,В среднем,"Открытые, полуоткрытые, закрытые и полузакрытые",,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний (смешанный) и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-5,В переднем и среднем рядах,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-3,Дифтонги и трифтонги,,,
A-10,Типы дифтонгов,listed,A-10-3,Восходящие и нисходящие,Преобладают нисходящие дифтонги.,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,,,
A-12,Типы шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-5,"Лабиальные, переднеязычные, заднеязычные и постувулярные",,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-6,Дентальные и альвеолярные,,,
A-16,Типы шумных велярных и увулярных согласных по месту образования,listed,A-16-1,Велярные,,,
A-17,Типы шумных ларингальных согласных по месту образования,listed,A-17-1,Только фарингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайды /w/ и /j/ классифицируются как полугласные.,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-1,Начальный слог,В сложных и производных словах различается главное и второстепенное ударение.,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,custom,,Назализация и фонация,,,
B-14,Типы фонации,listed,B-14-7,Придыхательная,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,По структуре слога Ф.я. сближается с английским и в меньшей степени с немецким языком.,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-7,Ограниченный набор гласных и согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-1,Отсутствуют,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-6,"Различия в фонетическом составе, в структуре слога и акцентные различия",,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,listed,E-2-10,Внутренняя флексия и кумулятивность флексий,,,
E-3,Признаки агглютинативного строя,listed,E-3-6,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения, постоянство морфемного облика и совпадение исходной формы с чистой основой",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,Общий и средний род; различия между мужским и женским родом сохраняются при прономинализации и в диалектах.,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-1,Артикли,,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В артикле, местоимении и (остаточно) прилагательном",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,Других данных нет.,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,listed,F-8-5,Лексическое и синтаксическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-4,Лексический и синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-2,Нейтральная и вежливая,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,Атрибутивное согласование только у имен среднего рода с неопределенным артиклем.,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,listed,H-2-17,"Субъектная и объектная форма личных местоимений, предлоги и глагольное согласование",Субъектные и объектные личные местоимения имеют ударную и безударную форму.,,
H-3,Падежное оформление именного сказуемого,custom,,Общий (субъектно-объектный) падеж,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-4,Посессив,Реликтовые формы сильного и слабого генитива.,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-19,Посессивные местоимения и предлоги,..,,
H-6,Способ выражения пространственных отношений,custom,,"Наречия места, местоименные наречия, приглагольные наречные элементы и предлоги",,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-1,Нет различий,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-18,Вспомогательный глагол + причастие,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,,
