feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,Список из 15 гласных фонем (звукотипов) по количеству степеней подъема терминологически не интерпретируется,,
A-2,Подъемы гласных,custom,,Список из 15 гласных фонем (звукотипов) по признаку подъема терминологически не интерпретируется,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,custom,,Список из 15 гласных фонем (звукотипов) по признаку ряда терминологически не интерпретируется,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,Других данных нет.,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,
A-6,Противопоставление гласных по назализации,not_stated,,,"Отмечена назализация гласных, но ее фонологическая значимость не всегда ясна.",
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,
A-10,Типы дифтонгов,not_stated,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Есть противопоставления по звонкости/глухости и по аспирации,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые (одно- и двухфокусные)",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-4,Только ларингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,custom,,"Трехчленная корреляция по аспирации; корреляция церебральности переднеязычных, шипящих, дрожащих; корреляция звонкости охватывает и латеральные",,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Лабиальные, переднеязычные (нецеребральные и церебральные), среднеязычные и заднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-3,По палатализации,,
B-1,Тип ударения,listed,B-1-4,Фонологическое/ нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,Данных нет.,
B-6,Количество уровней тонов,listed,B-6-3,Более трёх,Наблюдается связь тонов с аспирацией согласных.,
B-7,Контурные признаки тона,custom,,"Высокий, низкий, восходяший и два типа нисходящего",,
B-8,Носитель тона,not_stated,,,Данных нет.,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,Данных нет.,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,Данных нет.,
B-14,Типы фонации,not_stated,,,Данных нет.,
C-1,Начальный согласный в слоге,not_stated,,,Структура слога изучена слабо.,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,Других данных нет.,
D-5,Различия между исконными и заимствованными словами,listed,D-5-1,Отсутствуют,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,Других данных нет.,
D-7,Функциональный тип чередований,listed,D-7-3,Смыслоразличительные,,
D-8,Вид чередований,listed,D-8-1,Вокалические,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,,
E-2,Признаки флективного строя,listed,E-2-1,Внутренняя флексия,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-3,Аналитический с элементами синтетизма,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-2,Перегласовка основы,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-9,"В местоимении, прилагательном и глаголе",,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,Других данных нет.,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,Других данных нет.,
F-8,Противопоставление по личности/ неличности,not_stated,,,,
F-9,Способ выражения одушествленности/ неодушевленности,not_stated,,,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-3,Маркированное и немаркированное,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,custom,,Двадцатиричная,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,,
H-1,Количество падежей,listed,H-1-2,Три-семь,,
H-2,Маркирование субъекта и объекта,listed,H-2-7,"Внутренняя флексия, глагольное согласование и падежные аффиксы",,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,listed,H-4-3,Генитив,Других данных нет.,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,
H-6,Способ выражения пространственных отношений,listed,H-6-11,Именные аффиксы и послелоги,,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-1,Одинаковое,Других данных нет.,
H-9,Наличие вторичных падежей,not_stated,,,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Залог морфологически не выражен,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,not_stated,,,,
I-5,Основные временные противопоставления,listed,I-5-6,Настоящее-будущее и прошедшее,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-19,"Лицо, число, род, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,Данных нет.,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,
J-2,Способы выражения дейктических категорий,listed,J-2-15,Указательные местоимения и послелоги,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
J-6,"Части речи, выражающие определенность-неопределенность имени",listed,J-6-2,Местоимения,Других данных нет.,
J-7,Способы выражения форм вежливости,not_stated,,,,
J-8,Способы выражения отрицания,not_stated,,,Данных нет.,
J-9,Позиция показателя отрицания,not_stated,,,Данных нет.,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
K-3,Расположение артикля,not_stated,,,,
K-4,Постановка артикля в именной группе,not_stated,,,,
K-5,"Грамматические категории, выражаемые артиклем",not_stated,,,,
K-6,Количество типов спряжения глаголов,listed,K-6-1,Единый тип спряжения,Других данных нет.,
K-7,Типы глагольного согласования,listed,K-7-4,Субъектное и субъектно-объектное,,
K-8,"Согласовательные категории, выражаемые причастием",listed,K-8-1,Отсутствуют,Других данных нет.,
K-9,"Время, выражаемое причастием",not_stated,,,Данных нет.,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-5,Род,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,Данных нет.,
K-13,Атрибутивное согласование прилагательных,not_stated,,,,
K-14,Типы атрибутивного согласования,listed,K-14-4,По роду,Других данных нет.,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,listed,K-16-12,"Рода / согласовательного класса, числа и состояния",,
K-17,Средства словоизменения,listed,K-17-5,Внутренняя флексия и аффиксы,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,Других данных нет.,
L-1,Способы словообразования,not_stated,,,Словообразование не изучено.,
L-2,"Аффиксы, участвующие в словообразовании",not_stated,,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-7,Аккузативная с элементами эргативной,Язык номинативно-эргативной типологии.,
M-2,Фиксированность порядка слов,not_stated,,,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,listed,M-4-1,Определение предшествует определяемому,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,Сложное предложение не изучено.,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,
N-3,Оформления сказуемого в придаточном предложении,not_stated,,,,
N-4,Тип построения сложного предложения,not_stated,,,,
N-5,Тип связи между элементами сложного предложения,not_stated,,,,
_aux,,not_applicable,,,А.К.Зотова,
