feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,26
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,26
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,"Фонетический признак ""долгий-краткий"" не является релевантным, однако в некоторых диалектах встречаются позиционные долгие гласные.",,27
A-6,Фонологические ступени долготы,not_applicable,,,,,27
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,"""Признак лабиализованности фонологически нерелевантен"".",,26
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,26
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,26
A-10,Противопоставление гласных по назализации,not_applicable,,,,,26
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,Дифтонги существовали в древне-грузинском языке.,,27
A-14,Типы дифтонгов,not_applicable,,,,,27
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-8,Абруптивные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные","В таблице аффрикаты не указаны, однако сказано, что ""преальвеолярные и альвеолярные фонемы являются аффрикатами, полученными при слиянии дентальных смычных с соответствующими дентальными или альвеолярными спирантами"".",,27
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,27
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,27
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-14,"Дентальные, альвеолярные и постальвеолярные",,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""увулярные"" в статье используется термин ""поствелярные"".",,27
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"Фарингальная согласная g присутствует в таблице, при этом в тексте статьи указано, что ""фарингальный ряд согласных был в древнегрузинском языке, но постепенно исчез"".",,27
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,27
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-7,Лабиальные и переднеязычные,,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,"Ударение в основном динамическое, с элементами тоновости, музыкальности.",,28
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,28
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-1,Фонологическая,,,28
B-4,Вид ударения (качественные характеристики),listed,B-4-4,Музыкально-динамическое,,,28
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,28
B-6,Типы связанного ударения,listed,B-6-1,Строго фиксированное,,,28
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-1,Подвижное,Однако упоминается устойчивость слова по отношению к фонетическим изменениям.,,28
B-8,Тип строго фиксированного ударения (по положению в слове),listed,B-8-1&B-8-4,На первом слоге от начала слова&На третьем слоге от конца слова,В двухсложных словах. Музыкальное ударение на последнем слоге.,,28
B-9,Носители ограниченного (разноместного) ударения,not_applicable,,,,,28
B-10,Виды тонем,not_applicable,,,,,28
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,28
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,28
B-13,Количество уровней контурных тонов,not_applicable,,,,,28
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,28
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру начала слова,not_stated,,,,,
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),custom,,Отсутствуют,,,
D-3,Ограничения на фонемную структуру в конце слова,not_stated,,,,,
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),custom,,Отсутствуют,,,
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,
D-6,Различия между знаменательными и служебными словами,not_stated,,,,,
D-7,Типы различий между знаменательными и служебными словами,not_stated,,,,,
D-8,Различия между исконными и заимствованными словами,not_stated,,,,,
D-9,Типы различий между исконными и заимствованными словами,not_stated,,,,,
