feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,Противопоставление по долготе сопряжено с противопоставлением по напряженности.,
A-5,Противопоставление гласных по лабиализации,listed,A-5-2,В переднем ряду,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",Общепринятого представления о подсистеме согласных Н.я. нет.,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-6,Дентальные и альвеолярные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-2,Только глоттальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",Фонемы /l/ и /r/ определяются авторами как латеральные.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-16,"Лабиальные, переднеязычные и заднеязычные",Фонемы /l/ и /r/ определяются авторами как дентальные.,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,"Разграничивают три степени: сильноударенность, слабоударенность и безударность.",
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-2,Начальный слог корня,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,listed,B-10-1,Фонема,,
B-11,Признак гармонического уподобления гласных,listed,B-11-6,Ряд и подъем,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-12-2,Первый гласный аффикса,,
B-13,Прочие супрасегментные явления,custom,,"Фонация, веляризация и палатализация",,
B-14,Типы фонации,listed,B-14-6,Напряженная,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-7,Ограниченный набор гласных и согласных,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-8,Ограниченный набор гласных и согласных,,
D-3,Особенности слогового состава слова,custom,,"Преобладают одно- и двусложные корневые морфемы и двуморфемные (корень + флексия), но односложные словоформы",,
D-4,Различия между знаменательными и служебными словами,listed,D-4-7,"Различия в фонетическом составе, в структуре слога и акцентные различия",,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-8,Различия в фонетическом составе и в структуре слога,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,listed,D-8-8,"Вокалические, консонантные и смешанные",,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,
E-2,Признаки флективного строя,listed,E-2-10,Внутренняя флексия и кумулятивность флексий,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Артикли и аффиксация в прилагательном,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,В артикле и прилагательном,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,
F-8,Противопоставление по личности/ неличности,listed,F-8-5,Лексическое и синтаксическое,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-4,Лексический и синтаксический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,listed,G-3-2,Нейтральная и вежливая,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,listed,G-6-1,Десятичная,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-3,Не совпадают,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, падежные аффиксы, субъектные и объектные формы личных местоимений, артикль, предлоги и порядок слов",,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,
H-4,Падежное оформление посессивного отношения,listed,H-4-3,Генитив,,
H-5,Другие способы оформления посессивного отношения,custom,,Притяжательные местоимения и синтаксические конструкции с глаголами принадлежности и обладания,,
H-6,Способ выражения пространственных отношений,custom,,"Местоимения, наречия места, предложно-наречные композиты и предлоги",,
H-7,Маркирование зависимостного имени в генитивной конструкции,listed,H-7-1,Маркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-1,Одинаковое,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Вспомогательный глагол + причастие прошедшего времени и возвратное местоимение,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-4,Пассив и рефлексив,,
I-5,Основные временные противопоставления,listed,I-5-7,"Настоящее, прошедшее и будущее",,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,custom,,Особый тип согласования и изменение типа спряжения,,
J-1,Наличие местоименных слов,listed,J-1-10,"Местоименные наречия, прилагательные и существительные",,
