feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,listed,A-1-1,Две,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,,
A-6,Противопоставление гласных по назализации,listed,A-6-4,"В переднем, среднем и заднем рядах",,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,,,
A-10,Типы дифтонгов,not_stated,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-7,"Противопоставление по звонкости/глухости, глоттализованные согласные",,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-18,"Альвеолярные, ретрофлексные и альвео-палатальные",,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-2,Только глоттальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Губные, переднеязычные, ретрофлексные и среднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-19,По аспирации,,,
B-1,Тип ударения,explicit_gap,,,,,
B-2,Вид ударения,explicit_gap,,,,,
B-3,Носитель ударения,explicit_gap,,,,,
B-4,Фиксированность ударения,explicit_gap,,,,,
B-5,Носитель фиксированного ударения в слове,explicit_gap,,,,,
B-6,Количество уровней тонов,listed,B-6-1,Два,,,
B-7,Контурные признаки тона,listed,B-7-7,"Ровный, восходящий и нисходящий",,,
B-8,Носитель тона,listed,B-8-1,Слог,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,listed,B-13-1,Назализация,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-7,Ограниченный набор гласных и согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-4,Ограниченный набор гласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,explicit_gap,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,explicit_gap,,,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,explicit_gap,,,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-12,В прилагательном и глаголе,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,,
F-6,Согласование количественных числительных в роде,explicit_gap,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-5,Класс,,,
F-8,Противопоставление по личности/неличности,explicit_gap,,,,,
F-9,Способ выражения одушевленности/неодушевленности,explicit_gap,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,explicit_gap,,,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-3,Атрибутивное,нет данных о предикативном согласовании,,
G-5,Форма числа существительного в сочетании с числительными,explicit_gap,,,,,
G-6,Система счисления,explicit_gap,,,,,
G-7,"Неопределенный артикль и числительное «один»",not_applicable,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,Морфологические падежи только у местоимений,,
H-2,Маркирование субъекта и объекта,listed,H-2-6,Глагольное согласование и служебные слова,,,
H-3,Падежное оформление именного сказуемого,explicit_gap,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,explicit_gap,,,,,
H-5,Другие способы оформления посессивного отношения,explicit_gap,,,,,
H-6,Способ выражения пространственных отношений,listed,H-6-5,Послелоги,,,
H-7,Маркирование в посессивной конструкции,explicit_gap,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,explicit_gap,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
