feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Фонологические ступени долготы,listed,A-5-2,Две ступени,,,
A-6,Противопоставление гласных по лабиализации,listed,A-6-6,В переднем и заднем / непереднем рядах,,,
A-7,Противопоставление гласных по назализации,listed,A-7-1,Противопоставление гласных по назализации отсутствует,,,
A-8,Противопоставление гласных по фарингализации,listed,A-8-1,Противопоставление гласных по фарингализации отсутствует,,,
A-9,Противопоставление гласных по продвинутости корня языка,listed,A-9-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-10,Наличие дифтонгов и трифтонгов,listed,A-10-2,Только дифтонги,,,
A-11,Типы дифтонгов,listed,A-11-3,Восходящие и нисходящие,,,
A-12,Инвентарь шумных согласных по ларингальным признакам,listed,A-12-5,Геминированные согласные,,,
A-13,Типы шумных согласных по способу артикуляции,listed,A-13-3,"Взрывные, фрикативные и аффрикаты",,,
A-14,Инвентарь шумных согласных по месту образования,listed,A-14-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-15,Типы шумных губных согласных по месту образования,listed,A-15-1,Только губно-губные,,,
A-16,Шумные переднеязычные согласные по месту образования,listed,A-16-23,Дентально-альвеолярные,,,
A-17,Типы шумных велярных и увулярных согласных по месту образования,listed,A-17-1,Велярные,,,
A-18,Типы шумных ларингальных согласных по месту образования,custom,,их нет,,,
A-19,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-19-2,По лабиализации,,,
A-20,Инвентарь сонорных согласных по способу артикуляции,listed,A-20-6,"Назальные, плавные, вибранты и глайды",,,
A-21,Инвентарь сонорных согласных по месту образования,listed,A-21-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-22,Дополнительные противопоставления сонорных согласных,listed,A-22-5,По интенсивности,,,
A-23,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,custom,,не ясно,,,
B-2,Вид ударения,custom,,не ясно,,,
B-3,Носитель ударения,custom,,не ясно,,,
B-4,Фиксированность ударения,custom,,не ясно,,,
B-5,Носитель фиксированного ударения в слове,custom,,не ясно,,,
B-6,Количество уровней тонов,custom,,не ясно,,,
B-7,Контурные признаки тона,custom,,не ясно,,,
B-8,Носитель тона,custom,,не ясно,,,
B-9,Характер долготы,custom,,"фразовое удлинение, возможно",,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-10,"Вокалические, консонантные, смешанные и чередование комплексов",,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,not_stated,,,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-4,Лексическое и морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-2,Морфологический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-1,Маркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-3,Восемь-двенадцать,,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,,
H-6,Способ выражения пространственных отношений,listed,H-6-19,"Именные аффиксы, превербы и послелоги",,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-9,"Вспомогательный глагол, аффиксы и служебные слова",,,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-1,Присутствует,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,listed,I-4-3,Медий и пассив,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-8,"Время, лицо, число",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,listed,I-10-1,Отсутствует,,,
J-1,Наличие местоименных слов,listed,J-1-5,Местоименные прилагательные,,,
J-2,Способы выражения дейктических категорий,listed,J-2-1,Указательные местоимения,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-3,Наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,not_stated,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-2,Местоимения,,,
J-7,Способы выражения форм вежливости,listed,J-7-6,В глагольной группе и местоимениях,,,
J-8,Способы выражения отрицания,listed,J-8-6,Отрицательные местоимения и частицы,,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
