feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,"В первом столбце таблицы обозначено только три подъема, но в содержани их отражено четыре.",,171
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,171
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,171
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,171
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,Показано в таблице в виде пар фонем /ɪ/:/ʏ/ и /ɛ/:/ö/.,,171
A-8,Противопоставление гласных по лабиализации,listed,A-8-1,В переднем ряду,Показано в таблице в виде пар фонем /ɪ/:/ʏ/ и /ɛ/:/ö/.,,171
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,Вывод из отсутствия в тексте.,,171
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,"В некоторых контекстах дифтонги произносятся как трифтонги, но фонологических трифтонгов в языке нет.",,172
A-14,Типы дифтонгов,listed,A-14-2,Нисходящие,,,172
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-6,Противопоставления по звонкости/глухости и по аспирации,Все шумные смычные глухие. Есть пре- и постаспирированные смычные.,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-1,Взрывные и фрикативные,,,172
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,172
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,172
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-11,"Дентальные, интердентальные и альвеолярные",,,
