feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-1,Две,"В таблице гласных вместо термина ""подъем"" употребляется термин ""раствор""",,68
A-2,Подъемы гласных,,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,68
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,68
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,68
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,68
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,68
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,68
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,68
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты","Автор статьи употребляет термины ""взрывные"" вместо термина ""аффрикаты"".",,68
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,68
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,68
A-19,Шумные переднеязычные согласные по месту образования,,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,,,68
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,68
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,68
A-23,Инвентарь сонорных согласных по способу артикуляции,,,,,,
A-24,Инвентарь сонорных согласных по месту образования,,,,,,
A-25,Дополнительные противопоставления сонорных согласных,,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,,,,,,
B-1,Тип ударения,,,,,,
B-2,Вид ударения,,,,,,
B-3,Носитель ударения,,,,,,
B-4,Фиксированность ударения,,,,,,
B-5,Носитель фиксированного ударения в слове,,,,,,
B-6,Количество уровней тонов,,,,,,
