feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-1,Взрывные и фрикативные,,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-20,"Дентальные, альвеолярные и ретрофлексные",,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-1,Только фарингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Лабиальные, переднеязычные (дентальные, альвеолярные и ретрофлексные), среднеязычные (палатальные) и заднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,,
B-2,Вид ударения,listed,B-2-4,Смешанное,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-1,Начальный слог,В сложных словах есть ослабленное второстепенное ударение на первом слоге второго компонента.,,
B-6,Количество уровней тонов,listed,B-6-2,Три,Тоны характерны для разговорного языка.,,
B-7,Контурные признаки тона,custom,,"Низкий, средний и высокий",,,
B-8,Носитель тона,listed,B-8-1,Слог,,,
B-9,Характер долготы,listed,B-9-3,Ритмическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,custom,,"Сандхи: протеза, ассимиляция, озвончение и удвоение согласных; в разговорном языке также падение гласных в срединной и конечной позиции",,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-4,Ограниченный набор согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,Данных нет.,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,Данных нет.,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-6,Различия в фонетическом составе и в структуре слога,,,
D-6,Различия между корневыми и аффиксальными морфемами,custom,,Различия в количестве слогов,,,
D-7,Функциональный тип чередований,listed,D-7-3,Смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-1,Вокалические,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,listed,E-3-7,Постоянство морфемного облика и совпадение исходной формы с чистой основой,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-3,Аффиксация в глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В глаголе, числительном и местоимении",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,custom,,Для числительных от одного до пяти,,,
F-7,Классифицирующие категории существительных,listed,F-7-2,Личность/неличность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-4,Лексическое и морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-6,Лексический и морфологический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-2,Нейтральная и вежливая,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
