feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-4,Пять,Гласные по количеству степеней подъема терминологически не интерпретируется. Количество степеней подъема определено на основании схемы.,,
A-2,Подъемы гласных,custom,,"Верхний, верхне-средний, средний, средне-нижний и нижний",Подъемы гласных определены на основании схемы.,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-3,Средний и задний,Звукотипы переднего ряда являются вариантами фонем среднего ряда.,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,,
A-6,Противопоставление гласных по назализации,not_stated,,,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-10,Типы дифтонгов,not_applicable,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,custom,,"Есть противопоставления по звонкости/глухости, аспирации, палатализации и лабиализации","Есть аспирированные глухие смычные (чистые) и аффрикаты. Противопоставления по палатализации есть во всех рядах, кроме среднеязычного, по лабиализации - во всех рядах, кроме лабиального и среднеязычного.",,
A-12,Типы шумных согласных по способу артикуляции,custom,,"Смычные, фрикативные и аффрикаты","Смычные: чистые (неносовые и носовые) и аффрикаты (одно- и двухфокусные), и щелевые: однофокусные (срединные и боковые) и двухфокусные.",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,Различаются нецеребральные и церебральные смычные (чистые).,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-4,Только ларингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды","Назальные определяются как смычные чистые носовые, плавные - как щелевые боковые. Глайды /w/, /w'/и /y/ определяются как щелевые однофокусные срединные согласные.",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные и ларингальные",Классификация отражает таблицу консонантизма в статье.,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,explicit_gap,,,"Ударение слабое, фонетический характер его реализации не изучен.",,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,not_stated,,,В именах ударение тяготеет к началу слова. Глагольное ударение изучено слабо.,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,,
B-6,Количество уровней тонов,listed,B-6-4,Тоны отсутствуют,Тоновые оппозиции не прослеживаются.,,
B-7,Контурные признаки тона,not_applicable,,,,,
B-8,Носитель тона,not_applicable,,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,listed,B-10-1,Фонема,,,
B-11,Признак гармонического уподобления гласных,listed,B-11-2,Ряд,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-12-11,Гласный флексии,,,
B-13,Прочие супрасегментные явления,custom,,"Назализация, фарингализация и ларингализация гласных, гортанная и фарингальная смычка, протеза гласных и согласных, ассимиляция и оглушение согласных ",,,
B-14,Типы фонации,not_applicable,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,,
