feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,Список из 10 гласных фонем по количеству степеней подъема терминологически не интерпретируется,Гласные фонемы могут  иметь позиционные варианты.,
A-2,Подъемы гласных,custom,,Список из 10 гласных фонем по признаку подъема терминологически не интерпретируется,Язык бесписьменный; памятников письменности не имеет.,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,custom,,Список из 10 гласных фонем по признаку ряда терминологически не интерпретируется,Возможны позиционные варианты от заднерядных до переднерядных.,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,Гласные могут лабиализоваться в соседстве с лабиальными согласными.,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Есть противопоставления по звонкости/глухости и по аспирации,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые: срединные (одно- и двухфокусные) и боковые",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-4,Только ларингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-4,По палатализации,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайд /y/ определяется как среднеязычный срединный  однофокусный щелевой.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,custom,,По звонкости/глухости и церебральности/нецеребральности,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-6,Конечный слог основы,Многосложные слова имеют второстепенное ударение.,
B-6,Количество уровней тонов,not_stated,,,Тоновые оппозиции не прослеживаются. Отдельные слова имеют определенные тоновые контуры.,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,Данных нет.,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,listed,B-13-5,Веляризация и палатализация,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,not_stated,,,Структура слога не изучена.,
C-2,Конечный согласный в слоге,not_stated,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,
