feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-3,Четыре,Бесписьменный язык. Описывается фонология западного диалекта.  ,,
A-2,Подъемы гласных,listed,A-2-6,"Верхний, средне-верхний, средне-нижний и нижний",Подъемы определены на основании приведенной схемы.,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний (смешанный) и задний",Ряды определены на основании приведенной схемы.,,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,"Есть минимальная пара, противопоставленная по признаку долготы гласного /a/ : /ā/.",,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,,
A-6,Противопоставление гласных по назализации,not_stated,,,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-10,Типы дифтонгов,not_applicable,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,custom,,Есть противопоставление по звонкости/глухости и палатализации,,,
A-12,Типы шумных согласных по способу артикуляции,custom,,"Смычные, фрикативные и аффрикаты ","Смычные: чистые (неносовые и носовые) и аффрикаты (одно- и двухфокусные), и щелевые: срединные (одно- и двухфокусные) и боковые. ",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-2,Губно-губные и губно-зубные,Билабиальный и звонкий лабиодентальный являются вариантами одной фонемы. Глухой лабиодентальный встречается в заимствованиях.,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,"Различаются нецеребральные и церебральные смычные (чистые), двухфокусные аффрикаты и фрикативные.",,
A-16,Типы шумных велярных и увулярных согласных по месту образования,listed,A-16-5,Велярные и увулярные,Увулярные встречаются в заимствованиях. ,,
A-17,Типы шумных ларингальных согласных по месту образования,listed,A-17-4,Только ларингальные,"Ларингальный /h/ характерен для речи лиц, получивших образование на языке дари.",,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-2,По лабиализации,По лабиализации противопоставлены аффрикаты и переднеязычные фрикативные.,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды","Назальные определяются как смычные чистые носовые, плавные - как щелевые боковые. Глайды /w/ и /y/ определяются как щелевые срединные однофокусные согласные.",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",Различаются нецеребральные и церебральные назальные и латеральные. Церебральный латеральный встречается в заимствованиях.,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, увулярные и ларингальные",Переднеязычные срединные фрикативные подразделяются на нецеребральные и церебральные. Классификация отражает таблицу консонантизма в статье.,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,custom,,Неподвижное фиксированное,Фиксированность ударения не уточняется.,,
