feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,462
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,462
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,"""В литературе встречается указание на наличие долгих гласных, в основном вторичного образования"".",,462
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,462
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,462
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,462
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,"""Под влиянием последующего [н] в закрытом слоге, обычно перед заднеязычными согласными, образуются назализованные гласные"". Редко фиксируется назализация в других позициях.",,462
A-10,Противопоставление гласных по назализации,not_stated,,,,,462
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,"Зафиксированы следующие дифтонги: уа, уе, уи, аи, ои, ыи.",,462
A-14,Типы дифтонгов,listed,A-14-3,Восходящие и нисходящие,,,462
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,461
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,461
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", но есть фонема ""в"", являющаяся губно-зубной.",,461
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"В статье используется термин ""заднеязычные"" вместо ""увулярные"".",,461
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"В статье используется термин ""ларингальные"" вместо ""глоттальные""",,461
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-3,По палатализации,"""Палатализация в большинстве случаев обусловлена фонетически <…> однако в ряде случаев имеет морфонематический характер"". ""Позиционно заднеязычные лабиализуются после лабиализованных гласных"".",,462
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,462
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,462
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,"Упоминается падение на последний слог корня (основы). Также ударными являются аффиксы -лы, -ли, -сыз, а также аффикс, выражающий отрицание на глаголе.",,462
B-4,Вид ударения (качественные характеристики),not_stated,,,,,462
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,462
B-6,Типы связанного ударения,listed,B-6-2,Ограниченное,"Упоминается падение на последний слог корня (основы). Также ударными являются аффиксы -лы, -ли, -сыз, а также аффикс, выражающий отрицание на глаголе.",,462
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-3,Подвижное и неподвижное,"В большинстве случаев ударение падает на последний слог корня (основы), независимо от словоизменения. При этом есть аффиксы, которые всегда являются ударными, что значит, что при образовании форм с их помощью ударение является подвижным.",,462
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,462
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-4,B-8-9: На последнем слоге основы или корня,"Ударение падает на конечный слог корня (основы), а также на аффиксы прилагательных -лы, -ли, -сыз. Ударение падает на конечный слог корня (основы), что означает что можно добавить безударные аффиксы в конец. В тексте приведены примеры только с одним таким аффиксом, однако, существуют и аффиксы длиннее одного слога. Также ударение всегда падает на показатель отрицания при глаголе, однако на каких позициях он может находиться не указано (даны лишь примеры где он является вторым слогом от конца). ",,"462, 467"
B-10,Виды тонем,not_applicable,,,,,462
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,462
