feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,custom,,Список из 12 гласных звукотипов по количеству степеней подъема терминологически не интерпретируется,Фонологическое соотношение этих звукотипов не всегда ясно.,,
A-2,Подъемы гласных,custom,,Список из 12 гласных звукотипов по признаку подъема терминологически не интерпретируется,,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,custom,,Список из 12 гласных звукотипов по признаку ряда терминологически не интерпретируется,,,
A-4,Фонологические ступени долготы,not_stated,,,"Признак длительности предположительно нефонологичен, связан с (ударной) позицией. Отмечается заместительная долгота.",,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,Других данных нет.,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,,
A-10,Типы дифтонгов,not_applicable,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые: срединные (одно- и двухфокусные) и боковые",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Дентальные (нецеребральные и церебральные),Терминологическая интерпретация всех переднеязычных требует уточнения.,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-4,Только ларингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,Других данных нет.,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Лабиальные, переднеязычные (нецеребральные и церебральные), среднеязычные и заднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,Других данных нет.,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-1,Начальный слог,,,
B-6,Количество уровней тонов,not_stated,,,Тоновые оппозиции (исторические) на месте утраты аспирации звонкими придыхательными согласными.,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-2,Нефонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,not_stated,,,Структура слога не изучена.,,
C-2,Конечный согласный в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
