feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-1,Два,"Вместо термина ""подъем"" используется термин ""раствор"" -- широкий и узкий.",,141
A-2,Подъемы гласных,listed,A-2-1,Верхний и нижний,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,141
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,Разделение на краткие и долгие гласные присутствовало лишь в стихах.,,141
A-6,Фонологические ступени долготы,not_applicable,,,,,141
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,"Присутствует также гармония по лабиализации. Она проявляется ограниченно -- в первую очередь в аффиксах принадлежности, а также в аффиксах ряда деепричастий и в некоторых других.",,141
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,141
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,141
A-10,Противопоставление гласных по назализации,not_applicable,,,,,141
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,141
A-14,Типы дифтонгов,not_applicable,,,,,141
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные","В статье используется термин ""смычные"", однако в таблице консонантизма представлены и взрывные, и аффрикаты.",,141
