feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-6,"Верхний, средне-верхний, средне-нижний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,listed,A-210-2,В среднем,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний (смешанный) и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,"Отмечается, что вопрос дискуссионен",The problem is reported to be subject to discussion,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,,
A-6,Противопоставление гласных по назализации,listed,A-6-4,"В переднем, среднем и заднем рядах",,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-12,Типы шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-1,Только губно-губные,,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,"Дентальные, ретрофлексные и альвеопалатальные",,,
A-16,Типы шумных велярных и увулярных согласных по месту образования,listed,A-16-1,Велярные,,,
A-17,Типы шумных ларингальных согласных по месту образования,listed,A-17-2,Только глоттальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-4,По палатализации,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
