feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,custom,,"Фонемный состав литературного Л.я. представлен фонемами: a, e, u, o, y, o, ь, ... и айнизированный ...",Терминологическая интепретация отсутствует.,,
A-2,Подъемы гласных,not_stated,,,Терминологическая интепретация отсутствует.,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,Терминологическая интепретация отсутствует.,,
A-5,Фонологические ступени долготы,listed,A-5-1,Фонологические ступени долготы отсутствуют,,,
A-6,Противопоставление гласных по лабиализации,not_stated,,,,,
A-7,Противопоставление гласных по назализации,listed,A-7-1,Противопоставление гласных по назализации отсутствует,,,
A-8,Противопоставление гласных по фарингализации,not_stated,,,,,
A-9,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-10,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-11,Типы дифтонгов,not_stated,,,,,
A-12,Инвентарь шумных согласных по ларингальным признакам,listed,A-12-1,Противопоставление по звонкости/глухости,,,
A-13,Типы шумных согласных по способу артикуляции,custom,,Смычные: простые (непридыхательные/придыхательные) и аффрикаты; щелевые: одно- и двухфокусные,,,
A-14,Инвентарь шумных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднеязычные, заднеязычные, увулярные, нижне- и верхнефарингальные",,,
A-15,Типы шумных губных согласных по месту образования,listed,A-15-2,Губно-губные и губно-зубные,,,
A-16,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-17,Типы шумных велярных и увулярных согласных по месту образования,listed,A-17-2,Велярно-увулярные,,,
A-18,Типы шумных ларингальных согласных по месту образования,listed,A-18-1,Только фарингальные,,,
A-19,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,,,
A-20,Инвентарь сонорных согласных по способу артикуляции,listed,A-20-2,"Назальные, плавные и вибранты",,,
A-21,Инвентарь сонорных согласных по месту образования,listed,A-21-7,Лабиальные и переднеязычные,,,
A-22,Дополнительные противопоставления сонорных согласных,listed,A-22-19,По аспирации,,,
A-23,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-4,Фонологическое/нефонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-11,Начальный или конечный слог,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-2,Нефонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-9,Ограниченный набор согласных и запрет на любые стечения согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-7,Запрет на любые стечения согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-10,Внутренняя флексия и кумулятивность флексий,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В артикле, в изафетном показателе в составе атрибутивного комплекса и в местоимении",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,not_stated,,,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-5,Косвенный,,,
H-5,Другие способы оформления посессивного отношения,custom,,Изафетный атрибутивный комплекс,,,
H-6,Способ выражения пространственных отношений,listed,H-6-7,Предложно/послеложно-именные конструкции,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Аналитическая конструкция (вспомогательный глагол + масдар знаменательного глагола) и описательная предложно-именная конструкция,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-3&I-5-4,Прошедшее&Будущее&Небудущее (настоящее-прошедшее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-2,Только в единственном числе,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,custom,,"Указательные местоимения (в том числе дублированные), местоименные энклитики и послелоги (постпозитивный показатель определенности)",,,
