feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,"Количество подъемов и рядом не указано. В языке представлены следующие гласные: а, и, у, е, а также их фарингализованные варианты.",,348
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,"Количество подъемов и рядом не указано. В языке представлены следующие гласные: а, и, у, е, а также их фарингализованные варианты.",,348
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,348
A-6,Фонологические ступени долготы,not_applicable,,,,,348
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,348
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,348
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,348
A-10,Противопоставление гласных по назализации,not_applicable,,,,,348
A-11,Противопоставление гласных по фарингализации,listed,A-11-8,"В переднем, среднем и заднем рядах",,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,,,348
A-14,Типы дифтонгов,listed,A-14-2,Нисходящие,"В статье приведены следующие виды дифтонгов: ий, ей, уй.",,348
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,348
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,348
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", но есть фонема ""в"", являющаяся губно-зубной.",,348
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" используется термин ""заднеязычные"".",,348
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"Вместо термина ""глоттальные"" используется термин ""ларингальные"".",,348
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-2,По лабиализации,,,349
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,349
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,349
