feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,375
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,375
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,375
A-6,Фонологические ступени долготы,not_applicable,,,,,375
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,375
A-8,Противопоставление гласных по лабиализации,listed,A-8-1,В переднем ряду,,,375
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,Назализация гласных является фонологически незначимой.,,374
A-10,Противопоставление гласных по назализации,not_applicable,,,,,374
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,375
A-14,Типы дифтонгов,not_applicable,,,,,375
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-3,Глоттализованные согласные,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты",,,375
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,375
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", но есть фонема [в], являющаяся губно-зубной",,375
A-19,Шумные переднеязычные согласные по месту образования,custom,,"дентальные, дентально-альвеолярные, альвеолярные",,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо ""велярные"" используется термин ""заднеязычные""",,375
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-3,Фарингальные и глоттальные,"Вместо ""глоттальные"" используется термин ""ларингальные"".",,375
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-2,По лабиализации,"""Для лезгинского консонантизма характерно широкое функционирование лабиализованных согласных, употребляемых в различных позициях и имеющих дистинктивное значение"".",,375
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-7,Лабиальные и переднеязычные,,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-1-1,Фонологическая,,,
B-2,Вид ударения (качественные характеристики),listed,B-2-1,Динамическое,,,
B-3,Носитель просодической единицы,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,not_stated,,,,,
