feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,not_stated,,,"Лурские диалекты  мамассени, кухгелуи и фейли и бахтиярские диалекты чехарленг и хефтленг являются диалектными разновидностями персидского языка. ",,
A-2,Подъемы гласных,not_stated,,,,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,not_stated,,,,,
A-4,Фонологические ступени долготы,custom,,Есть долгие и краткие гласные,Фонологический статус противопоставления гласных по долготе/краткости и его корреляция с признаком устойчивости/неустойчивости в статье не описаны. ,,
A-5,Противопоставление гласных по лабиализации,custom,,Есть лабиализованные и нелабиализованные гласные,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,,,
A-12,Типы шумных согласных по способу артикуляции,custom,,"Смычные, фрикативные и аффрикаты",В статье аффрикаты определяются как смычные.,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-1,Только фарингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды","Назальные определяются как смычные, плавный /l/ и глайд /y/ - как фрикативные.",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,custom,,"Лабиальные, переднеязычные, увулярные и фарингальные",,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_applicable,,,,,
B-4,Фиксированность ударения,not_applicable,,,,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_applicable,,,,,
B-9,Характер долготы,not_stated,,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_applicable,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_applicable,,,,,
C-1,Начальный согласный в слоге,not_stated,,,,,
C-2,Конечный согласный в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,not_applicable,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,custom,,Кумулятивность флексий,Глагольные флексии кумулятивно выражают лицо и число.,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,not_stated,,,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
F-4,Другие способы выражения согласовательных классов,listed,F-4-2,Счетные классификаторы,Существуют универсальный нумератив и нумератив для одушевленных имен. ,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-1,Лексическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-4,Лексический и синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-6,Категория падежа отсутствует,Как в персидском языке.,,
H-2,Маркирование субъекта и объекта,custom,,"Именные аффиксы, глагольное согласование, предлоги и порядок слов",Имя существительное или местоимение в функции дополнения принимают постпозитивный показатель. ПРОВЕРИТЬ,,
H-3,Падежное оформление именного сказуемого,not_applicable,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_applicable,,,,,
H-5,Другие способы оформления посессивного отношения,custom,,Посессивные аффиксы и энклитические местоимения,Посессивный аффикс используется в составе изафетной конструкции.,,
H-6,Способ выражения пространственных отношений,listed,H-6-40,"Указательные местоимения, наречия и предлоги",,,
H-7,Маркирование в посессивной конструкции,custom,,Генитив отсутствует,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_applicable,,,,,
H-9,Наличие вторичных падежей,not_applicable,,,,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,Есть формы пассива. Их структура не описана.,,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-2,Отсутствует,,,
I-3,Двойные залоговые формы,not_applicable,,,,,
I-4,Совпадение залоговых форм,not_applicable,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,custom,,"Тип основы, флексии и вспомогательный глагол + причастие/основа смыслового глагола",В аналитической конструкции вспомогательный глагол следует за нефинитной формой/основой смыслового глагола. Связка входит в состав глагольной словоформы. В ПРИМЕРАХ ЕСТЬ КАКИЕ-ТО ПРЕФИКСЫ. ИМЕЮТ ЛИ ОНИ ВРЕМЕННОЕ ЗНАЧЕНИЕ? - ЮЛЯ,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,custom,,"Указательные местоимения, артикли и аффиксы",Есть глагольные префиксы с пространственным значением.,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-3,Предлоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,custom,,Суффигированные определенный и неопределенный артикли,"АРТИКЛИ ЛИ? Определенный объект в функции прямого и косвенного дополнения принимает послелог-показатель определенности. СР. ХАЗАРА, КУРДШУЛИ, ПЕРСИДСКИЙ",,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-15,Артикли и числительные,,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-9,Отрицательные частицы и аффиксы,,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,,
K-1,Склонение личных местоимений,listed,K-1-1,Местоимения не склоняются,,,
K-2,Типы артиклей,listed,K-2-4,Определенный и неопределенный,Определенный артикль присоединяется к имени в функции прямого и косвенного дополнения.,,
K-3,Неопределенный артикль и числительное «один»,listed,K-3-2,Не совпадают,,,
K-4,Расположение артикля,listed,K-4-2,Постпозиция,,,
K-5,Постановка артикля в именной группе,not_stated,,,,,
K-6,"Грамматические категории, выражаемые артиклем",custom,,Определенность/неопределенность,,,
K-7,Количество типов спряжения глаголов,listed,K-7-1,Единый тип спряжения,,,
K-8,Типы глагольного согласования,listed,K-8-2,Субъектное,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,,,
K-10,"Время, выражаемое причастием",listed,K-10-4,Прошедшее,,,
K-11,"Грамматические категории, выражаемые наречием",not_stated,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",listed,K-12-1,Отсутствуют,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,,
K-14,Атрибутивное согласование прилагательных,not_stated,,,,,
K-15,Типы атрибутивного согласования,listed,K-15-2,По числу,Атрибутивное согласование по числу ограничено указательными местоимениями.,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",custom,,Число и определенность/неопределенность,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,listed,K-17-1,Отсутствует,,,
K-18,Средства словоизменения,custom,,Флексии и аффиксы,,,
K-19,Модель словоформы,listed,K-19-1,Префиксально-суффиксальная,,,
L-1,Способы словообразования,listed,L-1-12,Аффиксация и словосложение,,,
