feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-8,"В переднем, среднем и заднем рядах",,
A-6,Противопоставление гласных по назализации,listed,A-6-6,В переднем и среднем рядах,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,custom,,Дифтонги отсутствуют,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-14,Есть противопоставление по звонкости/глухости и напряженности/ненапряженности,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-23,Дентально-альвеолярные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-4,Велярные и лабиовелярные,,
A-17,Шумные постувулярные согласные по месту образования,custom,,нет,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,custom,,"Аппроксиманты, назальные, вибранты и латеральные",,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-8,"Аппроксиманты, назальные, вибранты и латеральные",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-5,По интенсивности,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,
B-2,Вид ударения,not_stated,,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-2,Нефиксированное,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,not_stated,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,listed,B-13-7,Палатализация и назализация,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-1,Отсутствуют,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-1,Отсутствуют,,
D-3,Особенности слогового состава слова,listed,D-3-4,Преимущественно неодносложные слова,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,
D-5,Различия между исконными и заимствованными словами,custom,,нет данных,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,
D-7,Функциональный тип чередований,not_stated,,,,
D-8,Вид чередований,listed,D-8-8,"Вокалические, консонантные и смешанные",,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,
E-2,Признаки флективного строя,listed,E-2-6,"Кумулятивность аффиксов, наличие параллельных типов словоизменения и фонетически необусловленные изменения в основе",,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-3,Аффиксация в глаголе,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-10,"В прилагательном, глаголе и числительном",,
F-4,Другие способы выражения согласовательных классов,custom,,нет,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,
F-6,Согласование количественных числительных в роде,custom,,нет данных в текстах,,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,
F-8,Противопоставление по личности/ неличности,custom,,нет данных,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-6,Лексический и морфологический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-1,Маркированное,,
G-3,Гонорифические формы числа,listed,G-3-1,Отсутствуют,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,custom,,нет данных,,
G-6,Система счисления,custom,,нет данных,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,
H-4,Падежное оформление посессивного отношения,listed,H-4-3,Генитив,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-5,Послелоги и предлоги,,
H-6,Способ выражения пространственных отношений,listed,H-6-2,Превербы,,
H-7,Маркирование зависимостного имени в генитивной конструкции,listed,H-7-1,Маркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-2,Различное,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-3,Медий и пассив,,
I-5,Основные временные противопоставления,listed,I-5-6,Настоящее-будущее и прошедшее,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-8,"Время, лицо, число",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,custom,,нет данных,,
J-1,Наличие местоименных слов,listed,J-1-10,"Местоименные наречия, прилагательные и существительные",,
J-2,Способы выражения дейктических категорий,listed,J-2-9,Указательные местоимения и превербы,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",custom,,нет данных,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
J-6,"Части речи, выражающие определенность-неопределенность имени",not_stated,,,,
J-7,Способы выражения форм вежливости,custom,,нет данных,,
J-8,Способы выражения отрицания,listed,J-8-9,Отрицательные частицы и аффиксы,,
J-9,Позиция показателя отрицания,listed,J-9-3,Препозиция,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,
