feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Фонологические ступени долготы,listed,A-5-2,Две ступени,,,
A-6,Противопоставление гласных по лабиализации,listed,A-6-1,Противопоставление гласных по лабиализации отсутствует,,,
A-7,Противопоставление гласных по назализации,listed,A-7-1,Противопоставление гласных по назализации отсутствует,,,
A-8,Противопоставление гласных по фарингализации,not_stated,,,,,
A-9,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-10,Наличие дифтонгов и трифтонгов,listed,A-10-2,Только дифтонги,,,
A-11,Типы дифтонгов,listed,A-11-2,Нисходящие,,,
A-12,Инвентарь шумных согласных по ларингальным признакам,listed,A-12-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-13,Типы шумных согласных по способу артикуляции,listed,A-13-1,Взрывные и фрикативные,,,
A-14,Инвентарь шумных согласных по месту образования,listed,A-14-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-15,Типы шумных губных согласных по месту образования,listed,A-15-1,Только губно-губные,,,
A-16,Шумные переднеязычные согласные по месту образования,listed,A-16-20,"Дентальные, альвеолярные и ретрофлексные",,,
A-17,Типы шумных велярных и увулярных согласных по месту образования,listed,A-17-1,Велярные,,,
A-18,Наличие типов шумных ларингальных согласных по месту образования,not_stated,,,,,
A-19,Типы шумных ларингальных согласных по месту образования,listed,A-19-1,Только фарингальные,,,
A-20,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-20-1,Отсутствуют,,,
A-21,Инвентарь сонорных согласных по способу артикуляции,custom,,"Назальные смычные, аппроксиманты, плавные, вибранты и глайды",,,
A-22,Инвентарь сонорных согласных по месту образования,listed,A-22-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные","Переднеязычные включают в себя дентальные, альвеолярные и ретрофлексные.",,
A-23,Дополнительные противопоставления сонорных согласных,listed,A-23-1,Отсутствуют,,,
A-24,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-1,Начальный слог,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,listed,B-10-1,Фонема,Сингармонизм характерен для народно-разговорной формы М.я.,,
B-11,Признак гармонического уподобления гласных,listed,B-11-2,Ряд,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,custom,,Гласный второго слога,,,
B-13,Прочие супрасегментные явления,custom,,"Правила сандхи: опущение конечной гласной, устранение зияния, ассимиляция и удвоение согласных",,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-10,"Ограниченный набор гласных и согласных, запрет на стечения согласных",,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-6,Различия в фонетическом составе и в структуре слога,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,,
D-7,Функциональный тип чередований,listed,D-7-2,Сопутствующие,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,В местоимении и причастии,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-4,Лексическое и морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-6,Лексический и морфологический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-3,Маркированное и немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-2,Нейтральная и вежливая,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-3,Восемь-двенадцать,,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-4,Посессивные местоимения,,,
H-6,Способ выражения пространственных отношений,custom,,"Именные аффиксы, местоимения и наречия",,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,,,
H-9,Наличие вторичных падежей,listed,H-9-1,Имеются,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-6,Вспомогательный глагол и аффиксы,"Существуют активный, пассивный и каузативный залоги.",,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-2,Отсутствует,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,listed,I-4-1,Отсутствует,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,
I-6,Выражение вида и времени,listed,I-6-1,Раздельное,,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,custom,,"Время, позитивность/негативность и модальность (наклонение)",,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-1,Отсутствует,,,
I-10,Маркер переходности,listed,I-10-1,Отсутствует,,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,,
J-2,Способы выражения дейктических категорий,custom,,"Именные аффиксы, наречия и изменение гласного основы указательных местоимений",,,
