feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,
A-5,Наличие фонологических ступеней долготы,not_stated,,,,,
A-6,Фонологические ступени долготы,not_stated,,,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-5,В переднем и заднем / непереднем рядах,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-3,"Губные, переднеязычные, палатальные и велярные/увулярные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-3,Альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,not_stated,,,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-3,По палатализации,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,listed,B-2-2,Количественное,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-2,Нефиксированное,,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Количество уровней тонов,not_stated,,,,,
B-10,Виды тонем,not_stated,,,,,
B-11,Контурные признаки тона,not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Носитель тона,not_stated,,,,,
B-14,Характер долготы,listed,B-14-4,Фонологическая и нефонологическая,,,
B-15,Область гармонического уподобления гласных,listed,B-15-1,Фонема,,,
B-16,Признак гармонического уподобления гласных,listed,B-16-7,Ряд и лабиализация,,,
B-17,Уподобляющий элемент при гармоническом уподоблении гласных,listed,B-17-4,Ударный гласный,,,
B-18,Прочие супрасегментные явления,not_stated,,,,,
B-19,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Большинство слогов неприкрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,not_stated,,,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-3,Восемь-двенадцать,,,
H-2,Маркирование субъекта и объекта,listed,H-2-8,"Глагольное согласование, падежные аффиксы и служебные слова",,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-3,Посессивные аффиксы,,,
H-6,Способ выражения пространственных отношений,not_stated,,,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-1,Категория залога отсутствует,,,
I-2,Возможность наложения нескольких залоговых форм,not_applicable,,,,,
I-3,Двойные залоговые формы,not_applicable,,,,,
I-4,Совпадение залоговых форм,not_applicable,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-5,Прошедшее&Непрошедшее (настоящее-будущее),,,
I-6,Выражение вида и времени,not_stated,,,,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-6,Лицо и время,,,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,listed,J-1-3,Местоименные наречия,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-4,Местоимения,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-2,Именные аффиксы,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-2,Местоимения,,,
