feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,listed,A-210-4,В верхнем и среднем,В верхнем подъеме: закрытые в разной степени и открытые,,
A-3,Ряды гласных,listed,A-3-11,"Передний, смешанный, продвинутый вперед задний и задний",,,
A-4,Фонологические ступени долготы,not_stated,,,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-8,"В переднем, среднем и заднем рядах",,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,not_stated,,,,,
A-10,Типы дифтонгов,not_stated,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные (чистые (не)носовые) и аффрикаты, щелевые (срединные одно-/двухфокусные) и боковые, дрожащие",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-1,Только фарингальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,custom,,"По звонкости (есть глухие и неполнозвонкие), степени смычки и придыхательности",,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-7,Лабиальные и переднеязычные,,,
A-21,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-11,Начальный или конечный слог,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
