feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,not_stated,,,"Ряд и подъем эксплицитно не описаны. Представлены следующие гласные: a, ä, e, i, ï, o, ö, u, ü и их долгие версии.",,56
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,"Упоминается наличие ""твердого"" и ""мягкого"" ряда. Представлены следующие гласные: a, ä, e, i, ï, o, ö, u, ü и их долгие версии.",,56
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,Количественная опозиция гласных в Д.я. по-видимому утратила системный характер. ,,56
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,56
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,"В Д.У.я. есть гармония по лабиализации гласных, но слаборазвитая.",,56
A-8,Противопоставление гласных по лабиализации,not_stated,,,,,56
A-9,Наличие противопоставления гласных по назализации,not_stated,,,,,56
A-10,Противопоставление гласных по назализации,not_stated,,,,,56
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,56
A-14,Типы дифтонгов,not_applicable,,,,,56
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты","Типы шумных согласных по способу артикуляции эксплицитно не выделены, но среди приведенных согласных присутствуют взрывные, фрикативные, аффрикаты.",,56
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные","Типы шумных согласных эксплицитно не выделены. Представлен согласный h, который, по всей видимости, является глоттальным.",,56
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"Место образование не выделено эксплицитно, но присутствуют губно-зубные фонемы v,f (f -- в заимствованиях).",,56
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Место образование не выделено эксплицитно, но присутствуют велярные фонемы (например, k) и увулярные (например, q)",,56
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,"Место образование не выделено эксплицитно, но присутствуют глоттальная фонема h.",,56
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,56
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
