feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,
A-5,Наличие фонологических ступеней долготы,not_stated,,,,,
A-6,Фонологические ступени долготы,not_stated,,,,,
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-6,В переднем и заднем / непереднем рядах,,,
A-9,Противопоставление гласных по назализации,listed,A-9-1,Противопоставление гласных по назализации отсутствует,,,
A-10,Противопоставление гласных по фарингализации,not_stated,,,,,
A-11,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-12,Наличие дифтонгов и трифтонгов,listed,A-12-1,Дифтонги и трифтонги отсутствуют,,,
A-13,Типы дифтонгов,not_applicable,,,,,
A-14,Инвентарь шумных согласных по ларингальным признакам,listed,A-14-1,Противопоставление по звонкости/глухости,,,
A-15,Типы шумных согласных по способу артикуляции,listed,A-15-1,Взрывные и фрикативные,,,
A-16,Инвентарь шумных согласных по месту образования,listed,A-16-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-17,Типы шумных губных согласных по месту образования,listed,A-17-1,Только губно-губные,,,
A-18,Шумные переднеязычные согласные по месту образования,listed,A-18-3,Альвеолярные,,,
A-19,Типы шумных велярных и увулярных согласных по месту образования,listed,A-19-3,Велярные и увулярные,,,
A-20,Типы шумных ларингальных согласных по месту образования,not_stated,,,,,
A-21,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-21-3,По палатализации,,,
A-22,Инвентарь сонорных согласных по способу артикуляции,listed,A-22-2,"Назальные, плавные и вибранты",,,
A-23,Инвентарь сонорных согласных по месту образования,listed,A-23-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-24,Дополнительные противопоставления сонорных согласных,listed,A-24-3,По палатализации,,,
A-25,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,not_stated,,,,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_stated,,,,,
B-4,Фиксированность ударения,not_stated,,,,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,not_stated,,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,listed,B-13-5,Веляризация и палатализация,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-7,Запрет на любые стечения согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,not_stated,,,,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-1,Агглютинативный,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-1,Маркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,not_stated,,,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-3,Десятичная с элементами двадцатеричной,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,,
H-6,Способ выражения пространственных отношений,not_stated,,,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,
I-6,Выражение вида и времени,not_stated,,,,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,not_stated,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-3,Наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-10,Различное падежное оформление определенного и неопределенного объекта,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",listed,J-6-7,Числительные,,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-19,Отрицательные аффиксы и предикативы,,,
J-9,Позиция показателя отрицания,listed,J-9-4,Постпозиция,,,
K-1,Склонение личных местоимений,not_stated,,,,,
K-2,Типы артиклей,listed,K-2-1,Артикли отсутствуют,,,
K-3,Неопределенный артикль и числительное «один»,not_stated,,,,,
K-4,Расположение артикля,not_applicable,,,,,
K-5,Постановка артикля в именной группе,not_applicable,,,,,
K-6,"Грамматические категории, выражаемые артиклем",not_applicable,,,,,
K-7,Количество типов спряжения глаголов,listed,K-7-1,Единый тип спряжения,,,
K-8,Типы глагольного согласования,not_stated,,,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,,,
