feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,not_stated,,,Список из восьми гласных фонем по количеству степеней подъема терминологически не интерпретируется.,,
A-2,Подъемы гласных,not_stated,,,Список из восьми гласных фонем по признаку подъема терминологически не интерпретируется.,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,not_stated,,,Список из восьми гласных фонем по признаку ряда терминологически не интерпретируется.,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,Других данных нет.,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Противопоставление по звонкости/глухости,Различается ранне- и позднепарфянский консонантизм (22 и 19 согласных фонем соответственно).,,
A-12,Типы шумных согласных по способу артикуляции,not_stated,,,Списки согласных по способу артикуляции терминологически не интерпртируются.,,
A-13,Инвентарь шумных согласных по месту образования,not_stated,,,Списки согласных по месту артикуляции терминологически не интерпртируются.,,
A-14,Типы шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,Терминологическая интерпретация отсутствует.,,
A-16,Типы шумных велярных и увулярных согласных по месту образования,not_stated,,,Терминологическая интерпретация отсутствует.,,
A-17,Типы шумных ларингальных согласных по месту образования,not_stated,,,Терминологическая интерпретация отсутствует.,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-2,По лабиализации,Других данных нет.,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",Других данных нет. Терминологическая интерпретация отсутствует.,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-2,По звонкости,Других данных нет.,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-4,Конечный слог,,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,custom,,"Фарингализация, фрикативизация и йотирование смычных согласных",,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,Данных нет.,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,Данных нет.,,
D-3,Особенности слогового состава слова,not_stated,,,Данных нет.,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,Самостоятельные слова противопоставляются служебным. Других данных нет.,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,Данных нет.,,
D-7,Функциональный тип чередований,not_stated,,,Данных нет.,,
D-8,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,custom,,В П.я. преобладают аналитические тенденции. Формы глагола в настоящем времени частично сохранили флексию,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,listed,E-3-1,Отсутствие полисемантизма флексий,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-3,Аналитический с элементами синтетизма,,,
F-1,Количество согласовательных классов,custom,,Категория рода в именах не выражена. Выражение категории лица/не-лица не исследовано (возможно предикативное согласование),,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
