feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,Список из 12 гласных фонем по количеству степеней подъема терминологически не интерпретируется,П.я. не образует диалектного континуума. Имеются значительные различия в диалектах.,
A-2,Подъемы гласных,custom,,Список из 12 гласных фонем по признаку подъема терминологически не интерпретируется,,
A-3,Ряды гласных,custom,,Список из 12 гласных фонем попризнаку ряда терминологически не интерпретируется,,
A-4,Фонологические ступени долготы,not_stated,,,Данных нет.,
A-5,Противопоставление гласных по лабиализации,not_stated,,,Данных нет.,
A-6,Противопоставление гласных по назализации,not_stated,,,Данных нет.,
A-7,Противопоставление гласных по фарингализации,not_stated,,,Данных нет.,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,,
A-10,Типы дифтонгов,not_stated,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Есть противопоставления по звонкости/глухости и по аспирации,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые: срединные (одно- и двухфокусные) и боковые",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Губные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Нецеребральные и церебральные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,custom,,Только ларингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,custom,,По аспирации,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Глайды /w/ и /y/ определяются как однофокусные срединные щелевые.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Губные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,custom,,Последний долгий гласный слова,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,custom,,Последний долгий гласный слова,,
B-6,Количество уровней тонов,listed,B-6-1,Два,Других данных нет.,
B-7,Контурные признаки тона,listed,B-7-1,Восходящий,Других данных нет.,
B-8,Носитель тона,custom,,Гласная фонема,,
B-9,Характер долготы,listed,B-9-2,Нефонологическая,Других данных нет.,
B-10,Область гармонического уподобления гласных,not_stated,,,Данных нет.,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,Позиционно обусловленные реализации фонем не изучены.,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,not_stated,,,Структурв слога не изучена.,
C-2,Конечный согласный в слоге,not_stated,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,Данных нет.,
D-5,Различия между исконными и заимствованными словами,not_stated,,,Данных нет.,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-3,Акцентные различия,Других данных нет.,
D-7,Функциональный тип чередований,not_stated,,,Не изучено.,
D-8,Вид чередований,not_stated,,,Не изучено.,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-5,Флективно-агглютинативный,,
E-2,Признаки флективного строя,not_stated,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-3,Аффиксация в глаголе,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-2,В глаголе,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
