feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,От трех до пяти,"Схема, включаюшая 10 гласных фонем, по количеству степеней подъема не интерпретируется.",
A-2,Подъемы гласных,not_stated,,,,
A-3,Ряды гласных,custom,,Отмечается значительная кчественная и количественная вариативность звукотипов в зависимости от фонологической значимостии устойсивости/неустойчивости,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,,
A-10,Типы дифтонгов,not_stated,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,Сисема рушанского консонантизма почти полностью совпадает с системой других языков шугнано-рушанской группы.,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,Смычные: чистые и аффрикаты (одно- и двухфокусные) и щелевые: однофокусные (кругло- и плоскощелевые) и двухфокусные,и,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Губные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,"Согласные, представленные в таблице, интерпретируются в терминах иранской фонетической транскрипции",,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,custom,,Ларингальные (нижнефарингальные),,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-2,"Назальные, плавные и вибранты",Плавные /l/ и /n/ определяются как смычно-проходные (носовые и боковые).,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-7,Губные и переднеязычные,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,listed,B-2-2,Количественное,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,custom,,"Конечный слог основы, словообразующие и формообразующие суффиксы и препозитивный отрицательный показатель",,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-4,Фонологическая и нефонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,custom,,Ограниченный набор гласных и запрет на стечение согласных,,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-5,Различия в фонетическом составе и акцентные различия,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-5,Различия в фонетическом составе и акцентные различия,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-5,Флективно-агглютинативный,,
E-2,Признаки флективного строя,listed,E-2-1,Внутренняя флексия,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,
E-4,Тип языка по степени спаянности морфем,custom,,Язык смешанной типологии,,
F-1,Количество согласовательных классов,listed,F-1-2,Два,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Перегласовка основ и суффиксация,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-9,"В местоимении, прилагательном и глаголе",,
F-4,Другие способы выражения согласовательных классов,custom,,Лексические детерминативы,,
F-5,Атрибутивное согласование по роду,listed,F-5-1,Только в единственном числе,,
F-6,Согласование количественных числительных в роде,not_stated,,,,
F-7,Классифицирующие категории существительных,custom,,Единичное/общее или конкретное/неконкретное,,
F-8,Противопоставление по личности/ неличности,listed,F-8-5,Лексическое и синтаксическое,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-4,Лексический и синтаксический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,not_stated,,,,
G-7,"Неопределенный артикль и числительное ""один""",not_stated,,,,
H-1,Количество падежей,listed,H-1-1,Один-два,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, субъектная и объектная форма местоимений, предлоги, послелоги и отделяемые показатели",,
H-3,Падежное оформление именного сказуемого,custom,,Прямой падеж,,
H-4,Падежное оформление посессивного отношения,not_stated,,,,
H-5,Другие способы оформления посессивного отношения,custom,,Позиция предлога в предложении,,
H-6,Способ выражения пространственных отношений,listed,H-6-12,Предлоги и послелоги,,
H-7,Маркирование зависимостного имени в генетивной конструкции,not_stated,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-2,Различное,,
H-9,Наличие вторичных падежей,not_stated,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-6,Вспомогательный глагол и аффиксы,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,not_stated,,,,
I-5,Основные временные противопоставления,listed,I-5-6,Настоящее-будущее и прошедшее,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,custom,,"Тип основы, аффиксы и флексии",,
I-8,Синкретическое выражение нескольких глагольных значений,custom,,"Лицо, число, род, вид, время и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,
J-1,Наличие местоименных слов,listed,J-1-10,"Местоименные наречия, прилагательные и существительные",,
J-2,Способы выражения дейктических категорий,listed,J-2-17,"Указательные местоимения, послелоги и наречия",,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-10,"Послелоги, предлоги и частицы",,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-10,Различное падежное оформление опреленного и неопределенного объекта,,
J-6,"Части речи, выражающие определенность-неопределенность имени",listed,J-6-21,"Артикли, местоимения и числительные",,
J-7,Способы выражения форм вежливости,not_stated,,,,
J-8,Способы выражения отрицания,not_stated,,,,
J-9,Позиция показателя отрицания,not_stated,,,,
K-1,Склонение личных местоимений,listed,K-1-3,Собственный тип склонения,,
K-2,Типы артиклей,listed,K-2-4,Определенные и неопределенные,,
K-3,Расположение артикля,listed,K-3-1,Препозиция,,
K-4,Постановка артикля в именной группе,not_stated,,,,
K-5,"Грамматические категории, выражаемые артиклем",listed,K-5-10,"Падеж, род и число",,
K-6,Количество типов спряжения глаголов,listed,K-6-2,Два типа спряжения,,
K-7,Типы глагольного согласования,listed,K-7-3,Субъектное и объектное,,
K-8,"Согласовательные категории, выражаемые причастием",listed,K-8-6,Род и число,,
K-9,"Время, выражаемое причастием",not_stated,,,,
K-10,"Грамматические категории, выражаемые наречием",not_stated,,,,
K-11,"Согласовательные категории, выражаемые прилагательным",listed,K-11-7,Род и число,,
K-12,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,
K-13,Атрибутивное согласование прилагательных,not_stated,,,,
K-14,Типы атрибутивного согласования,not_stated,,,,
K-15,"Изменяемые грамматические категории, выражаемые существительным",listed,K-15-7,Падеж и число,,
K-16,Кумулятивное выражение нескольких категорий в существительном,custom,,"Рода, числа, падежа, единичности/общности или конкретности/неконкретности",,
K-17,Средства словоизменения,listed,K-17-2,Аффиксы,,
K-18,Модель словоформы,listed,K-18-4,Преимущественно или только суффиксальная,,
L-1,Способы словообразования,custom,,"Аффиксация, основосложение и словосложение",,
L-2,"Аффиксы, участвующие в словообразовании",listed,L-2-6,"Префиксы, суффиксы и постфиксы",,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,
M-1,Стратегия кодирования глагольных актантов,listed,M-1-7,Аккузативная с элементами эргативной,,
M-2,Фиксированность порядка слов,not_stated,,,,
M-3,Основной порядок слов в предложении,listed,M-3-2,SOV,,
M-4,Порядок определения и определяемого,not_stated,,,,
