feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,От трех до пяти,,
A-2,Подъемы гласных,not_stated,,,Семь гласных по признаку подъема терминологически не имнтерпретирутся.,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,custom,,Для вокализма С.Я. характерна оппозиция устойчивых и неустойчивых гласных,Гласные по признаку ряда терминологически не имнтерпретирутся.,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,Консонантная система характеризуется как часть Шугнано-рушанской группы яхыков.,
A-12,Инвентарь шумных согласных по способу артикуляции,not_stated,,,,
A-13,Инвентарь шумных согласных по месту образования,not_stated,,,,
A-14,Инвентарь шумных губных согласных по месту образования,not_stated,,,,
A-15,Шумные переднеязычные согласные по месту образования,not_stated,,,,
A-16,Шумные заднеязычные согласные по месту образования,not_stated,,,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,
A-20,Инвентарь сонорных согласных по месту образования,not_stated,,,,
A-21,Дополнительные противопоставления сонорных согласных,not_stated,,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,custom,,Фонетический характер ударения не изучен,,
B-2,Вид ударения,not_stated,,,,
B-3,Носитель ударения,not_stated,,,,
B-4,Фиксированность ударения,not_stated,,,,
B-5,Носитель фиксированного ударения в слове,not_stated,,,,
B-6,Количество уровней тонов,custom,,Тоновые оппозиции не обнаружены,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,not_stated,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,
C-2,Конечный согласный в слоге,listed,C-2-3,Большинство слогов закрытые,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,Данных нет.,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,Данных нет.,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,Данных нет.,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-5,Флективно-агглютинативный,,
E-2,Признаки флективного строя,listed,E-2-1,Внутренняя флексия,,
E-3,Признаки агглютинативного строя,listed,E-3-4,Постоянство морфемного облика,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,
