feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,Гласные заднего ряда часто реализуются как гласные среднего ряда.,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-1,В переднем ряду,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,,,
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-1,Взрывные и фрикативные,,,
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-3,По палатализации,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-2,"Назальные, плавные и вибранты",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-16,"Лабиальные, переднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-3,По палатализации,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,Данных нет.,,
B-3,Вид ударения (качественные характеристики),listed,B-3-1,Динамическое,,,
B-4,Носитель просодической единицы,listed,B-4-1,Слог,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Носители ограниченного (разноместного) ударения,listed,B-6-1,Начальный слог,За исключением английских заимствований.,,
B-7,Типы связанного ударения,not_stated,,,,,
B-8,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-9,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-10,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,,,
B-11,Виды тонем,not_stated,,,,,
B-12,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_stated,,,,,
B-13,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-14,Количество уровней контурных тонов,not_stated,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,custom,,Аспирация,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,Данных нет.,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,Данных нет.,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-3,Акцентные различия,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,listed,D-7-3,Смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-2,Консонантные,Общекельтские грамматико-морфологические консонантные мутации анлаута (лениция и эклипсис).,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,not_stated,,,Данных нет.,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,not_stated,,,Данных нет.,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,not_stated,,,,,
G-3,Формы вежливости в местоимениях и глаголах,not_stated,,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,not_stated,,,Данных нет.,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,listed,H-2-13,"Падежные аффиксы, глагольное согласование и порядок слов",Показатели лица и числа в глаголе почти исчезли.,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,Данных нет.,,
H-6,Способ выражения пространственных отношений,not_stated,,,Данных нет.,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,Данных нет.,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,not_stated,,,Данных нет.,,
I-6,Выражение вида и времени,listed,I-6-1,Раздельное,Других данных нет.,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,Других данных нет.,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-4,Лицо и число,Показатели лица и числа почти исчезли.,,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,not_stated,,,Данных нет.,,
J-2,Способы выражения дейктических категорий,not_stated,,,Данных нет.,,
