feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,not_stated,,,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,,
A-10,Типы дифтонгов,not_applicable,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,
A-13,Инвентарь шумных согласных по месту образования,custom,,"Лабиальные, дентальные, передненебные, средненебные, велярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-30,Дентальные и передненебные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды","Сонорный /r/ является слогообразующим, различает краткость/долготу и нисходящую/восходящую интонацию в ударных слогах.",
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Лабиальные, дентальные и средненебные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-3,По палатализации,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,
B-2,Вид ударения,listed,B-2-3,Музыкальное,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,custom,,Ударение условно свободное,,
B-5,Носитель фиксированного ударения в слове,custom,,"Любой слог, кроме конечного",,
B-6,Количество уровней тонов,listed,B-6-1,Два,,
B-7,Контурные признаки тона,listed,B-7-3,Восходящий и нисходящий,,
B-8,Носитель тона,listed,B-8-1,Слог,,
B-9,Характер долготы,listed,B-9-4,Фонологическая и нефонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,custom,,"Ассимиляция и сонантизация согласных, протеза и удлинение гласных",,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-4,Ограниченный набор согласных,Ограничение касается сочетаний из трех согласных.,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-6,Различия в фонетическом составе и в структуре слога,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,custom,,"Вокалические (качественные и количественные), консонантные, чередования комплексов и интонационные (при словоизменении)",,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,
E-2,Признаки флективного строя,listed,E-2-7,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,Черты аналитизма широко представлены в диалектах.,
F-1,Количество согласовательных классов,listed,F-1-3,Три,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Падежно-числовые флексии и аффиксация в глаголе,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-16,"В прилагательном, числительном, местоимении и причастии",,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,
F-6,Согласование количественных числительных в роде,listed,F-6-4,"Для числительных ""один"" и ""два""",,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,
F-8,Противопоставление по личности/ неличности,listed,F-8-1,Лексическое,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-6,Лексический и морфологический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,"Реликты двойственного числа сохраняются в формах существительных мужского рода при числительных ""два""  и ""оба"".",
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,listed,G-3-2,Нейтральная и вежливая,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,listed,G-6-1,Десятичная,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,"Числительное ""один"" выполняет функцию неопределенного артикля.",
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,
H-2,Маркирование субъекта и объекта,custom,,"Субъектная и объектная форма личных местоимений, местоименные энклитики, падежные аффиксы, глагольное согласование и служебные слова",,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,
H-4,Падежное оформление посессивного отношения,listed,H-4-11,Генитив или датив,,
H-5,Другие способы оформления посессивного отношения,custom,,"Притяжательные прилагательные, притяжательные местоимения и энклитические формы личных местоимений в дательном падеже",,
H-6,Способ выражения пространственных отношений,custom,,"Именные аффиксы, местоимения, местоименные наречия, наречия места и предлоги",,
H-7,Маркирование зависимостного имени в генитивной конструкции,listed,H-7-1,Маркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-2,Различное,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Вспомогательный глагол + причастие и возвратные формы глаголов,,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-1,Присутствует,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,listed,I-4-4,Пассив и рефлексив,,
I-5,Основные временные противопоставления,listed,I-5-7,"Настоящее, прошедшее и будущее",,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-17,"Лицо, число, время, вид и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,
