feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-6,"Верхний, средне-верхний, средне-нижний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,listed,A-3-2,В среднем,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,
A-10,Противопоставление гласных по назализации,listed,A-10-5,В переднем и заднем / непереднем рядах,,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,,,
A-14,Типы дифтонгов,not_stated,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-16,Типы шумных согласных по способу артикуляции,custom,,"Взрывные, фрикативные, аффрикаты и имплозивные",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,custom,,"Дентальные, ретрофлексные и альвеопалатальные",,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-19,По аспирации,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_applicable,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-5,Второй слог от конца слова,Вопрос изучен недостаточно,Additional research needed,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),custom,,Неприменимо,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,
B-15,Характер долготы,listed,B-15-1,Фонологическая,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-2,Большинство слогов прикрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Ограничения на фонемную структуру начала слова,not_stated,,,,,
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-7,Запрет на любые стечения согласных,,,
D-3,Ограничения на фонемную структуру в конце слова,not_stated,,,,,
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-4-4,Ограниченный набор согласных,,,
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,
D-6,Различия между знаменательными и служебными словами,not_stated,,,,,
D-7,Типы различий между знаменательными и служебными словами,explicit_gap,,,,,
D-8,Различия между исконными и заимствованными словами,not_stated,,,,,
D-9,Типы различий между исконными и заимствованными словами,listed,D-9-3,Различия в структуре слога,,,
D-10,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-11,Типы различий между корневыми и аффиксальными морфемами,not_stated,,,,,
D-12,Функциональный тип чередований,listed,D-12-2,Сопутствующие,,,
D-13,Вид чередований,listed,D-13-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-4,Флективный с элементами агглютинации,,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,custom,,Наличие аналитических форм,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
F-1,Количество согласовательных классов,custom,,Семь,Семь словоизменительных типов,Seven inflectional classes,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-7,Именные флексии,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-12,В прилагательном и глаголе,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),listed,F-5-3,В единственном и множественном числе,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,custom,,Род,Два рода распределены по согласовательным классам,Two genders are distributed over the inflectional classes,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-3,Синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-1,Маркированное,Единственное и множественное число одинаково сложны морфологически,Singular and plural forms are equally complex,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,custom,,Падежные аффиксы и местоименные энклитики,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_stated,,,,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,,
H-6,Способ выражения пространственных отношений,listed,H-6-26,"Пространственные падежи, предлоги и местоимения",,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-10,Вспомогательный глагол + причастие и аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-7,Вспомогательный глагол + причастие и аффиксы,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-11,"Лицо, число, род, вид, время и модальность",,,
