feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,
A-5,Наличие фонологических ступеней долготы,not_stated,,,,,
A-6,Фонологические ступени долготы,listed,A-6-2,Две ступени,,,
A-7,Наличие противопоставления гласных по лабиализации,not_stated,,,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-1,Противопоставление гласных по лабиализации отсутствует,,,
A-9,Противопоставление гласных по назализации,listed,A-9-1,Противопоставление гласных по назализации отсутствует,,,
A-10,Противопоставление гласных по фарингализации,listed,A-10-1,Противопоставление гласных по фарингализации отсутствует,,,
A-11,Противопоставление гласных по продвинутости корня языка,listed,A-11-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-12,Наличие дифтонгов и трифтонгов,listed,A-12-1,Дифтонги и трифтонги отсутствуют,,,
A-13,Типы дифтонгов,not_applicable,,,,,
A-14,Инвентарь шумных согласных по ларингальным признакам,listed,A-14-1,Противопоставление по звонкости/глухости,,,
A-15,Типы шумных согласных по способу артикуляции,listed,A-15-1,Взрывные и фрикативные,,,
A-16,Инвентарь шумных согласных по месту образования,custom,,"Лабиальные, переднеязычные, среднезычные, заднеязычные и увулярные (q)",,,
A-17,Типы шумных губных согласных по месту образования,listed,A-17-2,Губно-губные и губно-зубные,,,
A-18,Шумные переднеязычные согласные по месту образования,listed,A-18-1,Дентальные,,,
A-19,Типы шумных велярных и увулярных согласных по месту образования,listed,A-19-2,Велярно-увулярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-1,Ударение отсутствует,,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_applicable,,,,,
B-4,Фиксированность ударения,not_applicable,,,,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,,
B-6,Количество уровней тонов,listed,B-6-1,Два,,,
B-7,Контурные признаки тона,listed,B-7-6,Ровный и нисходящий,,,
B-8,Носитель тона,listed,B-8-1,Слог,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-3,Большинство слогов прикрытые,,,
C-2,Конечный согласный в слоге,listed,C-2-4,Большинство слогов открытые,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-5,Ограниченный набор согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-2,Различия в фонетическом составе,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-4,Различия в структуре слога,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,,
D-7,Функциональный тип чередований,listed,D-7-3,Смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,listed,F-6-1,Отсутствует,,,
F-7,Классифицирующие категории существительных,listed,F-7-1,Отсутствуют,,,
F-8,Противопоставление по личности/неличности,listed,F-8-1,Лексическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-1,Лексический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-3,Атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,,,
H-2,Маркирование субъекта и объекта,custom,,Субъектная форма личных местоимений (выражается изменением тона),,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,not_stated,,,,,
H-5,Другие способы оформления посессивного отношения,custom,,Посессивные аффиксы и тоновые чередования на вершинном имени,,,
H-6,Способ выражения пространственных отношений,not_stated,,,,,
H-7,Маркирование в посессивной конструкции,not_applicable,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,not_stated,,,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-4,Аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,custom,,Нет данных,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,listed,I-4-4,Пассив и рефлексив,,,
I-5,Грамматические формы времени,listed,I-5-6,Общее,,,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,,
I-7,Способ выражения временных категорий,listed,I-7-4,Аффиксы и служебные слова,,,
I-8,Синкретическое выражение нескольких глагольных значений,listed,I-8-2,Вид и время,,,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-1,Отсутствует,,,
I-10,Маркер переходности,listed,I-10-3,Служебное слово,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,listed,J-2-11,Указательные местоимения и наречия,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-9,Предлоги и послелоги,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-2,Именные аффиксы,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_stated,,,,,
J-7,Способы выражения форм вежливости,not_stated,,,,,
J-8,Способы выражения отрицания,listed,J-8-3,Отрицательные частицы,,,
J-9,Позиция показателя отрицания,listed,J-9-4,Постпозиция,,,
