feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,,
A-6,Противопоставление гласных по назализации,not_stated,,,,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,listed,A-10-1,Восходящие,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-10,"Лабиальные, переднеязычные, среднеязычные, велярно-увулярные и гортанные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-27,"Дентальные, альвеолярные и альвео-палатальные",,,
A-16,Шумные заднеязычные согласные по месту образования,not_stated,,,,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,not_stated,,,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-15,"Назальные, вибранты, латеральные и плавные",,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,,
B-2,Вид ударения,listed,B-2-4,Смешанное,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,Есть ряд исключений,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-4,Конечный слог,Есть ряд исключений,,
B-6,Количество уровней тонов,not_stated,,,,,
B-7,Контурные признаки тона,not_stated,,,,,
B-8,Носитель тона,not_stated,,,,,
B-9,Характер долготы,not_stated,,,,,
B-10,Область гармонического уподобления гласных,not_stated,,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-13,Прочие супрасегментные явления,not_stated,,,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-7,Ограниченный набор гласных и согласных,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-8,Ограниченный набор гласных и согласных,,,
D-3,Особенности слогового состава слова,listed,D-3-4,Преимущественно неодносложные слова,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-1,Отсутствуют,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-1,Вокалические,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,Встречаются старые флективные формы из грабара,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,listed,E-3-5,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",Встречаются старые флективные формы из грабара,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-2,Аналитический,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-5,Лексическое и синтаксическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-6,Лексический и морфологический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-1,Маркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,not_stated,,,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
G-7,"Неопределенный артикль и числительное «один»",not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,listed,H-3-4,Номинатив,,,
