feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-3,Восходящие и нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по звонкости/глухости,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-1,Взрывные и фрикативные,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-3,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",Уникальная особенность Т.я. - четверичное противопоставление переднеязычных и постальвеолярного сибилянтов.,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,"Дентальные, альвеолярные, ретрофлексные и постдентальные",Интердентальный глухой переднеязычный /?/ интерпретируется как фрикативный.,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",Существуют звонкие и глухие латеральные сонорные.,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Лабиальные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
A-220,Инвентарь фрикативных согласных по месту образования,not_stated,,,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-1,Начальный слог,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,custom,,Внутренние и внешние сандхи,,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,custom,,Данных нет,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-4,Ограниченный набор согласных,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,custom,,Данных нет,,
D-3,Особенности слогового состава слова,not_stated,,,Вследствие редукции гласных непервого слога конечные сонорные берут на себя слогообразующую функцию.,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,listed,D-8-2,Консонантные,Других данных нет.,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,,
E-2,Признаки флективного строя,listed,E-2-2,Кумулятивность аффиксов,,
E-3,Признаки агглютинативного строя,custom,,Отсутствие полисемантизма аффиксов и постоянство морфемного облика,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-5,Синтетический,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,
F-5,Атрибутивное согласование по роду,not_stated,,,,
F-6,Согласование количественных числительных в роде,not_stated,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,
F-8,Противопоставление по личности/ неличности,listed,F-8-1,Лексическое,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-1,Лексический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,not_stated,,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,not_stated,,,Данных нет.,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,,
H-1,Количество падежей у имени существительного,listed,H-1-3,Восемь-двенадцать,,
H-2,Маркирование субъекта и объекта,custom,,"Глагольное согласование, падежные аффиксы и порядок слов",,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,listed,H-4-12,Номинатив или генитив,,
H-5,Другие способы оформления посессивного отношения,not_stated,,,,
H-6,Способ выражения пространственных отношений,custom,,"Местоимения, наречия и пространственные падежи",,
H-7,Маркирование зависимостного имени в генитивной конструкции,custom,,Маркированное/немаркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,not_stated,,,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,Данных нет.,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,not_stated,,,,
I-5,Основные временные противопоставления,listed,I-5-6,Настоящее-будущее и прошедшее,,
I-6,Выражение вида и времени,not_stated,,,Данных нет.,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,custom,,"Лицо, число, время и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,listed,I-10-2,Аффикс,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,
J-2,Способы выражения дейктических категорий,listed,J-2-11,Указательные местоимения и наречия,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-2,Послелоги,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
J-6,"Части речи, выражающие определенность-неопределенность имени",listed,J-6-2,Местоимения,,
J-7,Способы выражения форм вежливости,not_stated,,,Данных нет.,
J-8,Способы выражения отрицания,custom,,Отрицательное спряжение глагола,Других данных нет.,
J-9,Позиция показателя отрицания,not_stated,,,,
K-1,Склонение личных местоимений,listed,K-1-2,Падежные местоименные аффиксы совпадают с именными,,
