feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,"Вместо термина ""подъем"" используется термин ""раствор"" -- узкий, полуузкий, полуширокий, широкий.",,373
A-2,Подъемы гласных,listed,A-2-5,"Верхний, верхне-средний, нижне-средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-2,Передний и непередний / задний,,,373
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,,,373
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,373
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,"Также присутствует противопоставление по фарингализации (по-видимому, в силу кетского или самодийского влияния).",,373
A-8,Противопоставление гласных по лабиализации,listed,A-8-1,В переднем ряду,"Фонемы в заднем ряду делятся на губные и негубные, но фонологического противопоставления не образуется.",,373
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,373
A-10,Противопоставление гласных по назализации,not_applicable,,,,,373
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,Упоминается наличие дифтонгов.,,375
A-14,Типы дифтонгов,not_stated,,,,,375
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты",,,374
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,374
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""губные"", однако в таблице консонантизма представлена губно-зубная фонема ф. Она названа автором ""вариантом фонемы"".",,374
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"Вместо термина ""велярные"" в статье используется термин ""заднеязычные"".",,374
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,374
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,"Согласные перед и всегда палатализуются, а перед I остаются твердыми или чуть смягченными.",,374
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,not_stated,,,,,
B-2,Вид ударения (качественные характеристики),not_stated,,,,,
B-3,Носитель просодической единицы,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-2,Связанное,,,
B-5,Носители ограниченного (разноместного) ударения,listed,B-5-4,Конечный слог,,,
