feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,custom,,Список из девяти гласных фонем по количеству степеней подъема терминологически не интерпретируется,,
A-2,Подъемы гласных,custom,,Список из девяти гласных фонем по признаку подъема терминологически не интерпретируется,Язык бесписьменный.,
A-3,Ряды гласных,custom,,Список из девяти гласных фонем по признаку ряда терминологически не интерпретируется,,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,not_stated,,,Данных нет.,
A-6,Противопоставление гласных по назализации,not_stated,,,Данных нет.,
A-7,Противопоставление гласных по фарингализации,not_stated,,,,
A-8,Противопоставление гласных по продвинутости корня языка,not_stated,,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-1,Дифтонги и трифтонги отсутствуют,Других данных нет.,
A-10,Типы дифтонгов,not_stated,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Есть противопоставления по звонкости/глухости и по аспирации,,
A-12,Инвентарь шумных согласных по способу артикуляции,custom,,"Смычные: чистые (неносовые и носовые), аффрикаты (одно- и двухфокусные) и щелевые: срединные (одно- и двухфокусные) и боковые",Звонкие придыхательные встречаются редко. Фонологическая значимость придыхательных аффрикат неясна.,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Губные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Переднеязычные согласные по месту образования терминологически не интерпретируются. Отмечается наличие неценебральных и церебральных,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,custom,,Только ларингальные,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,Других данных нет.,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,
A-20,Инвентарь сонорных согласных по месту образования,custom,,"Губные, переднеязычные (нецеребральные и церебральные) и среднеязычные",,
