feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,454
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,not_stated,,,"Представлены гласные а,и,е,о,у, а также их палатализованные и фарингализованные варианты.",,454
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,454
A-6,Фонологические ступени долготы,not_applicable,,,,,454
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,454
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,454
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,454
A-10,Противопоставление гласных по назализации,not_applicable,,,,,454
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,454
A-14,Типы дифтонгов,not_applicable,,,,,454
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,454
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,454
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье используется термин ""лабиальные"" без разделения на губно-губные и губно-зубные, но представлены и губно-губные, и губно-зубные фонемы.",,454
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"В статье вместо ""велярные"" используется термин ""мягконебные"".",,454
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-1,Только фарингальные,,,454
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,"[л] смягчается в соседстве с палатализованными согласными. Есть интенсивные согласные, которые являются ""реликтом исконного состояния"".",,454
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,454
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,454
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,"Упоминается, что ударение падает на последний слог в имени, в многосложном глаголе два ударения -- в начале слова и в конце.",,454
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,"Вызывает редукцию безударного гласного, то есть сильное.",,454
B-5,Фиксированность ударения,listed,B-5-2,Связанное,"Упоминается, что ударение падает на последний слог в имени, в многосложном глаголе два ударения -- в начале слова и в конце.",,454
B-6,Типы связанного ударения,listed,B-6-1,Строго фиксированное,"Упоминается, что ударение падает на последний слог в имени, в многосложном глаголе два ударения -- в начале слова и в конце.",,454
B-7,Тип ударения при формообразовании (словоизменении),listed,B-7-1,Подвижное,"Упоминается, что ударение падает на последний слог в имени, в многосложном глаголе два ударения -- в начале слова и в конце.",,454
B-8,Тип строго фиксированного ударения (по положению в слове),listed,B-8-1&B-8-6,На первом слоге от начала слова&На последнем слоге в слове,"Упоминается, что ударение падает на последний слог в имени, в многосложном глаголе два ударения -- в начале слова и в конце.",,454
B-9,Носители ограниченного (разноместного) ударения,not_applicable,,,,,454
B-10,Виды тонем,not_applicable,,,,,454
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,454
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,454
B-13,Количество уровней контурных тонов,not_applicable,,,,,454
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,454
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,,,455
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,455
C-3,Стечения согласных в слоге,listed,C-3-3,Стечения согласных возможны только в конце слога,Среди представленных моделей слога и слогоделения не представлено моделей с стечением в начале слога.,,455
D-1,Ограничения на фонемную структуру начала слова,listed,D-1-2,Присутствуют,,,370
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-2&D-2-5,Разрешены только согласные&Ограничения на последовательность (сочетания) согласных,Неприкрытые слоги отсутствуют.,,370
D-3,Ограничения на фонемную структуру в конце слова,listed,D-3-2,Присутствуют,,,370
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-4-5&D-4-6,Ограничения на последовательность (сочетания) согласных&Запрет на любые стечения гласных,Запрет на стечения гласных происходит из запрета на неприкрытые слоги.,,370
