id,type,is_extinct,is_multiple,name_en,name_ru,custom_title_en,custom_title_ru,family_id,iso_639_3,glottocode,latitude,longitude,main_country_id,encyclopedia_volume_id,page,encyclopedia_map_id,has_feature_profile,comment
aragonese,language/dialect,0,0,Aragonese,арагонский,,,ibero_rom,arg,arag1245,42.2935,-0.4394,esp,11,550,11-4,1,
aromanian,language/dialect,0,0,Aromanian,арумынский,,,east_rom,rup,arom1237,40.62,21.20,grc,11,636,11-6,1,
asturian,language,0,0,Asturian,астурийский,,,ibero_rom,ast,astu1245,42.7954,-5.6689,esp,11,535,11-4,1,
catalan,language,0,0,Catalan,каталонский,,,occit_rom,cat,stan1289,41.6666,2,esp,11,492,"11-4, 11-10",1,
corsican,language/dialect,0,0,Corsican,корсиканский,,,italo_rom,cos,cors1241,41.70,9.26,fra,11,146,"11-10, 11-3",1,
dalmatian,language,1,0,Dalmatian,далматинский,,,rhaet_rom,dlm,dalm1243,45.0599,14.5719,hrv,11,681,11-3,1,
franco_provencal,language,0,0,Franco-Provençal,франкопровансальский,,,gallo_rom,frp,fran1260,45.81,6.48,ita,11,304,"11-2, 11-3",1,
french,language,0,0,French,французский,,,gallo_rom,fra,stan1290,48.8839,2.3678,fra,11,194,"11-2, 11-1",1,
friulian,language,0,0,Friulian,фриульский,,,rhaet_rom,fur,friu1240,46.1037,13.1396,ita,11,365,"11-9, 11-3, 11-8",1,
galician,language,0,0,Galician,галисийский,,,ibero_rom,glg,gali1258,42.8667,-8.55,esp,11,517,11-4,1,
gascon,language/dialect,0,0,Gascon,гасконский,,,occit_rom,,gasc1240,43.3,-0.38,fra,11,321,"11-2, 11-4",1,
istriot,language/dialect,0,0,Istriot,истророманский,,,italo_rom,ist,istr1244,45.09,13.64,hrv,11,187,11-9,1,
istro_romanian,language/dialect,0,0,Istro-Romanian,истрорумынский,,,east_rom,ruo,istr1245,45.43,14.20,hrv,11,656,11-9,1,
italian,language,0,0,Italian,итальянский,,,italo_rom,ita,ital1282,41.9,12.5,ita,11,56,"11-3, 11-9, 11-1",1,
judeo_spanish,language,0,0,Judeo-Spanish,сефардский,,,ibero_rom,lad,ladi1251,41.20,28.66,tur,11,557,11-1,1,
ladin,language,0,0,Ladin,ладинский,,,rhaet_rom,lld,ladi1250,46.0666,11.1166,ita,11,392,"11-8, 11-3",1,
megleno_romanian,language/dialect,0,0,Megleno-Romanian,мегленорумынский,,,east_rom,ruq,megl1237,41.12,22.38,grc,11,671,11-6,1,
occitan,language,0,0,Occitan,окситанский,,,occit_rom,oci,occi1239,41.3833,2.1833,esp,11,278,"11-2, 11-3",1,
old_french,language,1,0,Old French,старофранцузский,,,gallo_rom,fro,oldf1239,48.8666,2,fra,11,250,,1,
portuguese,language,0,0,Portuguese,португальский,,,ibero_rom,por,port1283,38.7666,-9.1833,prt,11,462,"11-4, 11-1",1,
rhaeto_romance,language,0,0,Romansch,ретороманский,,,rhaet_rom,roh,roma1326,46.55,9.93,che,11,335,"11-7, 11-3",1,
romanian,language,0,0,Romanian,румынский,,,east_rom,ron,roma1327,44.04,26.0833,rou,11,574,"11-5, 11-1",1,
sardinian,language,0,0,Sardinian,сардинский,,,italo_rom,srd,sard1257,39.2166,9.1166,ita,11,160,"11-10, 11-3",1,
spanish,language,0,0,Spanish,испанский,,,ibero_rom,spa,stan1288,40.4333,-3.7,esp,11,411,"11-4, 11-1",1,
enets,language,0,0,Enets,энецкий,,,north_samo,"enf, enh",enet1250,70.9596,84.2651,rus,1,343,,1,
erzya,language,0,0,Erzya,эрзянский,,,mordv,myv,erzy1239,54.1302,45.4394,rus,1,190,,1,
estonian,language,0,0,Estonian,эстонский,,,finn,est,esto1258,59.4333,24.75,est,1,115,,1,
finnish,language,0,0,Finnish,финский,,,finn,fin,finn1318,60.1733,24.9486,fin,1,90,,1,
hungarian,language,0,0,Hungarian,венгерский,,,ugric,hun,hung1274,47.5167,19.0833,hun,1,256,,1,
ingrian,language,0,0,Ingrian,ижорский,,,finn,izh,ingr1248,59.8397,28.7017,rus,1,55,,1,
kamassian,language,1,0,Kamas,камасинский,,,south_samo,xas,kama1351,57.9964,92.8784,rus,1,380,,1,
karelian,language,0,0,Karelian,карельский,,,finn,krl,kare1335,63.0474,33.4616,rus,1,63,,1,
khanty,language,0,0,Khanty,хантыйский,,,ob_ugric,kca,khan1273,63.7047,66.676,rus,1,301,,1,
