id,feature_id,en,ru,description_formatted_en,description_formatted_ru
A-1-1,A-1,Two,Два,,
A-1-2,A-1,Three,Три,,
A-1-3,A-1,Four,Четыре,,
A-1-4,A-1,Five,Пять,,
A-2-1,A-2,Close and open,Верхний и нижний,,
A-2-2,A-2,Close and mid,Верхний и средний,,
A-2-3,A-2,"Close, mid and open","Верхний, средний и нижний",,
A-2-4,A-2,"Close, close-mid, mid and open","Верхний, верхне-средний, средний и нижний",,
A-2-5,A-2,"Close, close-mid, open-mid and open","Верхний, верхне-средний, нижне-средний и нижний",,
A-2-6,A-2,"Close, mid-close, mid-open, and open","Верхний, средне-верхний, средне-нижний и нижний",,
A-2-7,A-2,Narrow and non-narrow,Узкий раствор и неузкий раствор,,
A-3-1,A-3,Close,В верхнем,,
A-3-2,A-3,Mid,В среднем,,
A-3-3,A-3,Open,В нижнем,,
A-3-4,A-3,Close and mid,В верхнем и среднем,,
A-3-5,A-3,Mid and open,В среднем и нижнем,,
A-4-1,A-4,Linear system,Один ряд,,
A-4-2,A-4,Front and back,Передний и непередний / задний,,
A-4-3,A-4,"Front, central and back","Передний, средний (смешанный) и задний",,
A-5-1,A-5,Present,Присутствуют,,
A-5-2,A-5,Absent,Отсутствуют,,
A-6-1,A-6,Two,Две ступени,,
A-6-2,A-6,Three,Три ступени,,
A-7-1,A-7,Present,Присутствует,,
A-7-2,A-7,Absent,Отсутствует,,
A-8-1,A-8,Present for front vowels,В переднем ряду,,
A-8-2,A-8,Present for central vowels,В среднем ряду,,
A-8-3,A-8,Present for back vowels,В заднем ряду,,
A-8-4,A-8,Present for front and central vowels,В переднем и среднем рядах,,
A-8-5,A-8,Present for front and back vowels,В переднем и заднем / непереднем рядах,,
A-8-6,A-8,Present for central and back vowels,В среднем и заднем рядах,,
A-8-7,A-8,"Present for front, central and back vowels","В переднем, среднем и заднем рядах / во всех рядах",,
A-9-1,A-9,Present,Присутствует,,
A-9-2,A-9,Absent,Отсутствует,,
A-10-1,A-10,Present for front vowels,В переднем ряду,,
A-10-2,A-10,Present for central vowels,В среднем ряду,,
A-10-3,A-10,Present for back vowels,В заднем ряду,,
A-10-4,A-10,Present for front and central vowels,В переднем и среднем рядах,,
A-10-5,A-10,Present for front and back vowels,В переднем и заднем / непереднем рядах,,
A-10-6,A-10,Present for central and back vowels,В среднем и заднем рядах,,
A-10-7,A-10,"Present for front, central and back vowels","В переднем, среднем и заднем рядах / во всех рядах",,
A-11-1,A-11,No vowel opposition in pharyngealization,Противопоставление гласных по фарингализации отсутствует,,
A-11-2,A-11,Present for front vowels,В переднем ряду,,
A-11-3,A-11,Present for central vowels,В среднем ряду,,
A-11-4,A-11,Present for back vowels,В заднем ряду,,
A-11-5,A-11,Present for front and central vowels,В переднем и среднем рядах,,
A-11-6,A-11,Present for front and back vowels,В переднем и заднем рядах,,
A-11-7,A-11,Present for central and back vowels,В среднем и заднем рядах,,
A-11-8,A-11,"Present for front, central and back vowels","В переднем, среднем и заднем рядах",,
A-12-1,A-12,No vowel opposition in ATR,Противопоставление гласных по продвинутости корня языка отсутствует,,
A-12-2,A-12,Present for front vowels,В переднем ряду,,
