alias,locale,country_id
Abkhazia,en,abk
Абхазия,ru,abk
Afghanistan,en,afg
Афганистан,ru,afg
Albania,en,alb
Албания,ru,alb
Algeria,en,dza
Алжир,ru,dza
Andorra,en,and
Андорра,ru,and
Angola,en,ago
Ангола,ru,ago
Argentina,en,arg
Аргентина,ru,arg
Armenia,en,arm
Армения,ru,arm
Australia,en,aus
Австралия,ru,aus
Austria,en,aut
Австрия,ru,aut
Azerbaijan,en,aze
Азербайджан,ru,aze
Bahamas,en,bhs
Багамы,ru,bhs
Багамские острова,ru,bhs
Багамские о-ва,ru,bhs
Багамские Острова,ru,bhs
Bahrain,en,bhr
Бахрейн,ru,bhr
Bangladesh,en,bgd
Бангладеш,ru,bgd
Barbados,en,brb
Барбадос,ru,brb
Belarus,en,blr
Белоруссия,ru,blr
Беларусь,ru,blr
Белорусь,ru,blr
Belgium,en,bel
Бельгия,ru,bel
Benin,en,ben
Бенин,ru,ben
Bermuda,en,bmu
Bermuda Islands,en,bmu
Бермудские острова,ru,bmu
Бермудские о-ва,ru,bmu
Бермудские Острова,ru,bmu
Бермуды,ru,bmu
Bolivia,en,bol
Боливия,ru,bol
Bosnia and Herzegovina,en,bih
Bosnia,en,bih
BiH,en,bih
Босния и Герцеговина,ru,bih
Босния,ru,bih
Botswana,en,bwa
Ботсвана,ru,bwa
Brazil,en,bra
Бразилия,ru,bra
Bulgaria,en,bgr
Болгария,ru,bgr
Burkina Faso,en,bfa
Буркина-Фасо,ru,bfa
Burundi,en,bdi
Бурунди,ru,bdi
Cambodia,en,khm
Камбоджа,ru,khm
Cameroon,en,cmr
Камерун,ru,cmr
Canada,en,can
Канада,ru,can
Cape Verde,en,cpv
Cabo Verde,en,cpv
Кабо-Верде,ru,cpv
Central African Republic,en,caf
Центральноафриканская Республика,ru,caf
ЦАР,ru,caf
Chad,en,tcd
Чад,ru,tcd
Chile,en,chl
Чили,ru,chl
China,en,chn
PRC,en,chn
Китай,ru,chn
КНР,ru,chn
Colombia,en,col
Колумбия,ru,col
Comoros,en,com
Коморы,ru,com
Коморские острова,ru,com
Congo,en,cog
Конго,ru,cog
Costa Rica,en,cri
Коста-Рика,ru,cri
Côte d'Ivoire,en,civ
Ivory Coast,en,civ
Ivory Coast (Côte d'Ivoire),en,civ
Кот д'Ивуар,ru,civ
Кот-д'Ивуар,ru,civ
Croatia,en,hrv
Хорватия,ru,hrv
Cuba,en,cub
Куба,ru,cub
