doculect_id,country_id
aragonese,esp
aromanian,rou
aromanian,grc
aromanian,mkd
aromanian,bgr
aromanian,tur
aromanian,deu
aromanian,fra
aromanian,srb
aromanian,usa
aromanian,alb
asturian,esp
catalan,ita
catalan,cub
catalan,esp
catalan,fra
catalan,arg
catalan,and
corsican,ita
corsican,fra
dalmatian,mne
dalmatian,hrv
franco_provencal,che
franco_provencal,fra
franco_provencal,ita
french,caf
french,mrt
french,hti
french,tcd
french,dji
french,bfa
french,lao
french,syc
french,usa
french,com
french,grd
french,gin
french,mar
french,gnq
french,dza
french,gbr
french,che
french,ind
french,glp
french,mtq
french,mdg
french,tgo
french,lca
french,vut
french,civ
french,and
french,syr
french,tun
french,cmr
french,mus
french,ita
french,ben
french,vnm
french,vct
french,cog
french,fra
french,rwa
french,tto
french,lux
french,bdi
french,ner
french,mli
french,mco
french,gab
french,sen
french,bel
french,khm
french,lbn
french,cod
french,can
friulian,rou
friulian,ita
galician,esp
gascon,esp
gascon,fra
istriot,hrv
istro_romanian,hrv
italian,hrv
italian,ita
italian,che
italian,can
italian,aus
italian,bel
italian,svn
italian,fra
italian,mlt
italian,arg
italian,smr
italian,usa
italian,bra
italian,bih
italian,ven
judeo_spanish,rou
judeo_spanish,grc
judeo_spanish,egy
judeo_spanish,mar
judeo_spanish,mkd
judeo_spanish,ita
judeo_spanish,gbr
judeo_spanish,bgr
judeo_spanish,tur
judeo_spanish,bel
judeo_spanish,fra
judeo_spanish,esp
judeo_spanish,isr
judeo_spanish,prt
judeo_spanish,srb
judeo_spanish,pse
judeo_spanish,usa
judeo_spanish,bih
ladin,ita
megleno_romanian,rou
megleno_romanian,grc
megleno_romanian,mkd
megleno_romanian,tur
megleno_romanian,uzb
occitan,esp
occitan,ita
occitan,mco
occitan,fra
old_french,gbr
old_french,bel
old_french,fra
portuguese,chn
portuguese,moz
portuguese,lka
portuguese,ind
portuguese,gnq
portuguese,tls
portuguese,idn
portuguese,bra
portuguese,prt
portuguese,cpv
portuguese,ago
portuguese,gnb
portuguese,stp
rhaeto_romance,che
romanian,rou
romanian,bgr
romanian,aus
romanian,hun
romanian,srb
romanian,ukr
romanian,usa
romanian,mda
sardinian,ita
spanish,phl
spanish,mex
spanish,slv
spanish,bol
spanish,esp
spanish,usa
spanish,hnd
spanish,gnq
spanish,cub
spanish,and
spanish,cri
spanish,ury
spanish,col
spanish,per
spanish,chl
spanish,ecu
spanish,esh
spanish,nic
spanish,pry
spanish,pri
spanish,dom
spanish,arg
spanish,gtm
spanish,ven
spanish,pan
enets,rus
erzya,aze
erzya,kgz
erzya,tkm
erzya,uzb
erzya,ukr
erzya,kaz
erzya,rus
estonian,gbr
estonian,can
estonian,aus
estonian,deu
estonian,usa
estonian,est
estonian,swe
finnish,fin
finnish,nor
finnish,can
finnish,usa
finnish,est
finnish,rus
finnish,swe
hungarian,rou
hungarian,aut
hungarian,hrv
hungarian,can
hungarian,aus
hungarian,svn
hungarian,isr
hungarian,srb
hungarian,hun
hungarian,ukr
hungarian,usa
hungarian,svk
ingrian,rus
kamassian,rus
karelian,fin
karelian,rus
karelian,swe
khanty,rus
komi_permyak,rus
komi_zyrian,kaz
komi_zyrian,ukr
komi_zyrian,rus
livonian,lva
livonian,ltu
mansi,rus
mari,rus
moksha,rus
nenets,rus
nganasan,rus
selkup,rus
udmurt,rus
veps,rus
votic,rus
alabugat_tatar,rus
altai,rus
astrakhan_karagash_nogai,rus
azerbaijani,arm
azerbaijani,irq
azerbaijani,tur
azerbaijani,afg
azerbaijani,irn
azerbaijani,geo
azerbaijani,aze
azerbaijani,rus
bashkir,rus
bulgar,xvb
bulgar,rus
bulgar,xgb
chagatai,ind
chagatai,xtm
chagatai,tkm
chagatai,irn
chuvash,rus
crimean_tatar,rou
crimean_tatar,aze
crimean_tatar,kgz
crimean_tatar,bgr
crimean_tatar,tur
crimean_tatar,uzb
crimean_tatar,tjk
crimean_tatar,geo
crimean_tatar,ukr
crimean_tatar,rus
crimean_tatar,ltu
dolgan,rus
gagauz,rou
gagauz,grc
gagauz,bgr
gagauz,tur
gagauz,uzb
gagauz,ukr
gagauz,kaz
gagauz,mda
gagauz,rus
karachay_balkar,kaz
karachay_balkar,rus
karaim,ukr
karaim,pol
karaim,ltu
karakalpak,afg
karakalpak,tkm
karakalpak,uzb
karakalpak,kaz
karakalpak,rus
karakhanid_uighur,chn
karakhanid_uighur,kaz
kazakh,chn
kazakh,kgz
kazakh,tur
kazakh,tkm
kazakh,afg
kazakh,uzb
kazakh,tjk
kazakh,mng
kazakh,kaz
kazakh,rus
khakas,rus
khwarezmian_turkic,xgh
khwarezmian_turkic,rus
kumyk,rus
kyrgyz,chn
kyrgyz,pak
kyrgyz,kgz
kyrgyz,afg
kyrgyz,uzb
kyrgyz,tjk
kyrgyz,kaz
kyrgyz,rus
nogai,rus
oghuz_x_xi,kaz
oghuz_x_xi,uzb
old_anatolian_turkic,tur
old_uighur,mng
orkhon_yenisei_inscriptions,rus
orkhon_yenisei_inscriptions,mng
polovets,rus
polovets,hun
salar,chn
saryg_yugur,chn
shor,rus
tatar,chn
tatar,rou
tatar,kgz
tatar,kaz
tatar,tur
tatar,tkm
tatar,uzb
tatar,isr
tatar,fin
tatar,tjk
tatar,lva
tatar,ukr
tatar,geo
tatar,aze
tatar,usa
tatar,rus
tatar,ltu
tofalar,rus
turki,ind
turki,kgz
turki,tkm
turki,afg
turki,uzb
turki,tjk
turki,irn
turki,kaz
turki,rus
turkish,rou
turkish,grc
turkish,mkd
turkish,sau
turkish,irq
turkish,bgr
turkish,tur
turkish,cyp
turkish,isr
turkish,lbn
turkish,xyg
turkish,syr
turkish,aze
turkish,alb
turkish,bih
turkish,ksv
turkish,ncp
turkmen,irq
turkmen,tur
turkmen,tkm
turkmen,afg
turkmen,uzb
turkmen,tjk
turkmen,irn
turkmen,syr
turkmen,kaz
turkmen,rus
