feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en
A-1,Количество степеней подъема,listed,A-1-2,Три,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,
A-3,Ряды гласных,listed,A-3-4,"Передний, средний и задний",,
A-4,Фонологические ступени долготы,listed,A-4-2,Две ступени,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,
A-6,Противопоставление гласных по назализации,listed,A-6-1,Противопоставление гласных по назализации отсутствует,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,
A-10,Типы дифтонгов,listed,A-10-2,Нисходящие,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-1,Есть противопоставления по отсутствию/ наличию голоса,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-3,"Взрывные, фрикативные и аффрикаты",,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-3,"Губные, переднеязычные, среднеязычные и заднеязычные",,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-2,Билабиальные и лабиодентальные,,
A-15,Шумные переднеязычные согласные по месту образования,custom,,Дентально-альвеолярные,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-5,Велярные и увулярные,,
A-17,Шумные постувулярные согласные по месту образования,not_stated,,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-1,Отсутствуют,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-14,"Губные, переднеязычные и среднеязычные",,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,
B-1,Тип ударения,listed,B-1-3,Нефонологическое,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,
B-3,Носитель ударения,listed,B-3-1,Слог,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,Второстепенное ударение падает на нечетные слоги многосложных слов.,
B-5,Носитель фиксированного ударения в слове,custom,,Начальный слог слова или тактовой группы,,
B-6,Количество уровней тонов,not_stated,,,,
B-7,Контурные признаки тона,not_stated,,,,
B-8,Носитель тона,not_stated,,,,
B-9,Характер долготы,listed,B-9-1,Фонологическая,,
B-10,Область гармонического уподобления гласных,not_stated,,,,
B-11,Признак гармонического уподобления гласных,not_stated,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,
B-13,Прочие супрасегментные явления,custom,,"Оглушение и озвончение шумных согласных, веляризация сонорного и глухой гортанный приступ",,
B-14,Типы фонации,not_stated,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-1,Отсутствуют,Других данных нет.,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-1,Отсутствуют,Других данных нет.,
D-3,Особенности слогового состава слова,not_stated,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-4,Различия в фонетическом составе и в структуре слога,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-2,Различия в фонетическом составе,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,
D-8,Вид чередований,custom,,"Вокалические, консонантные и чередования комплексов",,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,
E-2,Признаки флективного строя,listed,E-2-7,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,
E-3,Признаки агглютинативного строя,not_stated,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,"Аналитические формы прошедшего и будущего времени, сослагательного наклонения и страдательного залога.",
F-1,Количество согласовательных классов,listed,F-1-3,Три,,
F-2,Морфологические способы выражения согласовательных классов,custom,,Флексия в системе имени,,
F-3,Синтаксические способы выражения согласовательных классов,custom,,"В прилагательном, числительном, местоимении, причастии и (в книжном языке) деепричастии",,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,
F-6,Согласование числительных в роде,custom,,"Для числительных ""два"" и ""оба""",,
F-7,Классифицирующие категории существительных,listed,F-7-3,Одушевленность/неодушевленность,,
F-8,Противопоставление по личности/ неличности,not_stated,,,,
F-9,Способ выражения одушествленности/ неодушевленности,listed,F-9-5,Морфологический и синтаксический,,
G-1,Структура числа,listed,G-1-1,Единственное и множественное,,
G-2,Маркирование единственного числа,listed,G-2-2,Немаркированное,,
G-3,Гонорифические формы числа,listed,G-3-1,Отсутствуют,Других данных нет.,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,
G-5,Форма имен после числительного,listed,G-5-3,Единственное и множественное,,
G-6,Система счисления,listed,G-6-1,Десятеричная,,
G-7,"Неопределенный артикль и числительное ""один""",listed,G-7-1,Неопределенный артикль отсутствует,,
H-1,Количество падежей,listed,H-1-2,Три-семь,,
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,
H-4,Падежное оформление посессивного отношения,listed,H-4-11,Генитив или датив,,
H-5,Другие способы оформления посессивного отношения,custom,,"Притяжательные прилагательные, притяжательные местоимения и предложно-падежные конструкции",,
H-6,Способ выражения пространственных отношений,custom,,"Местоимения, наречия и предлоги",,
H-7,Маркирование зависимостного имени в генетивной конструкции,listed,H-7-1,Маркированное,,
H-8,Падежное оформление одушевленных и неодушевленных имен,listed,H-8-2,Различное,,
H-9,Наличие вторичных падежей,listed,H-9-2,Отсутствуют,,
I-1,Способ выражения залоговых форм в глаголе,custom,,Вспомогательный глагол + причастие и служебные слова,,
I-2,Возможность наложения нескольких залоговых форм,listed,I-2-2,Отсутствует,,
I-3,Двойные залоговые формы,not_stated,,,,
I-4,Совпадение залоговых форм,not_stated,,,,
I-5,Основные временные противопоставления,listed,I-5-7,"Настоящее, прошедшее и будущее",,
I-6,Выражение вида и времени,listed,I-6-2,Синкретическое,,
I-7,Способ выражения временных категорий,listed,I-7-3,Вспомогательный глагол и аффиксы,,
I-8,Синкретическое выражение нескольких глагольных значений,custom,,"Лицо, число, вид, время и модальность (наклонение)",,
I-9,Маркирование лица в глаголе в настоящем времени,listed,I-9-3,В единственном и множественном числе,,
I-10,Маркер переходности,listed,I-10-5,Особый тип согласования,,
J-1,Наличие местоименных слов,listed,J-1-11,Местоимения-существительные и местоимения-прилагательные,,
J-2,Способы выражения дейктических категорий,custom,,"Указательные и неопределенные местоимения, местоименные наречия и частицы",,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",listed,J-3-3,Предлоги,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",listed,J-4-6,Местоимения и наречия,,
J-5,Морфологическое выражение определенности/неопределенности имени,listed,J-5-1,Отсутствует,,
